Gene	logFC	logCPM	PValue	FDR
Nek10	-0.45785392	4.175917513	8.28E-07	8.23E-05
Pth2r	-0.417145823	1.886184002	9.47E-07	9.35E-05
Nxph3	-0.540503677	2.18503509	9.71E-07	9.52E-05
Thsd4	0.287971812	5.912838415	9.81E-07	9.55E-05
Cntnap5c	-0.307362012	6.900946047	1.14E-06	0.000110247
Tmem194b	0.28129298	4.154291241	1.20E-06	0.000114875
Pkp2	-0.379187213	4.911671477	1.20E-06	0.000114875
Wnk4	-0.647204162	1.052417101	1.24E-06	0.000117594
Met	-0.383784406	2.955373095	1.29E-06	0.000121842
Pxdn	-0.252842524	6.83678443	1.40E-06	0.000130403
Obsl1	-0.312068827	3.322036574	1.40E-06	0.000130403
Rdh12	-0.701649646	0.558544091	1.43E-06	0.000132218
Jarid2	0.296900619	7.900465229	1.57E-06	0.000143488
AW551984	-0.872475759	1.491096614	1.59E-06	0.000144922
Smad9	0.28345291	3.907374745	1.60E-06	0.000144922
Igfbp2	-0.458212254	2.685747763	1.68E-06	0.000150749
Efemp1	-0.333717871	3.503652331	1.73E-06	0.000154822
Plxnd1	-0.229791451	5.877838725	1.83E-06	0.00016213
Slc35g2	0.277858818	3.715708599	1.90E-06	0.000167979
9530036O11Rik	-0.427945799	3.346492033	1.97E-06	0.000173162
Trpc6	-0.353727112	5.374133889	2.02E-06	0.000175843
Myt1	-0.258839594	5.548888886	2.09E-06	0.00018085
Plcd3	0.294034053	3.424712734	2.26E-06	0.000194336
Tenm3	0.381703422	8.856676156	2.27E-06	0.000194336
March4	-0.280155589	5.411013934	2.34E-06	0.000199045
C77370	-0.227541394	6.552323034	2.43E-06	0.000205667
Pcdh19	-0.193368548	6.126014141	2.46E-06	0.000206726
Cabp7	0.497644463	2.440728652	2.50E-06	0.000208539
Runx2	0.346531607	6.760301184	2.51E-06	0.000208539
Dpysl3	-0.205549371	5.326739885	2.53E-06	0.000208694
Adamtsl2	-0.518911304	1.526098786	2.61E-06	0.000213686
Necab1	-0.259301083	6.874068271	2.62E-06	0.000213686
Ankrd33b	0.301502933	7.522437544	2.63E-06	0.000213686
Cdc14b	0.246167234	5.676859715	2.68E-06	0.000216033
Bach1	0.208253049	4.813700305	2.75E-06	0.000221002
Pde2a	-0.19772479	7.845923506	2.81E-06	0.000223934
Nav1	-0.225466596	7.343302524	2.92E-06	0.000231948
Sema3f	-0.422445844	2.680748851	3.17E-06	0.000250019
Colec12	-0.408774324	4.085603444	3.39E-06	0.000264618
Slc27a3	-0.600851113	1.017539624	3.41E-06	0.000264618
Oprm1	-0.284945995	4.485472144	3.41E-06	0.000264618
Crmp1	-0.204608337	6.582634338	3.61E-06	0.000278432
Fam20a	-0.292286447	4.972295146	3.67E-06	0.00028168
Lamc2	0.311254096	3.124292862	3.71E-06	0.000283208
Itga11	0.559416995	3.089985628	3.95E-06	0.000299897
Arhgef25	-0.254848917	4.641815235	4.14E-06	0.000311847
Esrrg	0.35181082	7.58439752	4.16E-06	0.000311847
C2cd4c	-0.422019446	2.779047552	4.17E-06	0.000311847
Ypel1	-0.320071698	4.03974746	4.23E-06	0.000312514
Myo5b	-0.2701542	5.480185313	4.23E-06	0.000312514
Rimklb	-0.200256759	5.344561408	4.36E-06	0.000320505
Zadh2	0.239419967	4.901375934	4.80E-06	0.000350881
1500015L24Rik	0.634815186	0.784591976	4.85E-06	0.000353242
Ntf3	-0.61092892	2.097617008	4.95E-06	0.000358101
Gpr149	-0.38508039	3.217445711	5.08E-06	0.000366094
Ntn4	0.478373278	3.942503317	5.13E-06	0.000367932
Tpd52l1	-0.273536502	4.674085793	5.24E-06	0.00037361
A330102I10Rik	0.259309236	5.749664158	5.79E-06	0.000410645
Eya4	0.274949252	4.859894778	5.88E-06	0.000414986
Anxa6	-0.179546178	5.81611798	5.91E-06	0.000414986
Lrrn2	-0.204051937	6.77653097	6.03E-06	0.000421717
Zcchc16	-0.35198017	6.572447124	6.50E-06	0.000452152
Pkd1l3	-0.697384892	0.643878228	7.39E-06	0.000510085
Etnk2	-0.400349538	3.181669942	7.41E-06	0.000510085
Gabra3	-0.199805596	6.202210975	7.49E-06	0.000513428
Kcns1	0.327485478	3.071549479	7.74E-06	0.000527621
Zmat4	0.325968487	7.811600604	8.44E-06	0.000573056
Ppp1r1a	-0.270135835	4.214107321	9.27E-06	0.000626235
Rab26	-0.322298985	3.799989201	9.77E-06	0.000656653
Olfm2	-0.225525128	5.778262017	1.01E-05	0.000677488
Pcdh17	0.2352168	7.940643417	1.02E-05	0.000677488
Wnt7b	-0.249965686	3.948892157	1.04E-05	0.000690087
Ppp5c	-0.18696453	5.240693864	1.09E-05	0.000721154
Rnf39	-0.533929202	1.314158862	1.11E-05	0.000728164
Dlk1	0.853739478	1.740046015	1.14E-05	0.00074559
AU022754	-0.601059493	0.993962096	1.17E-05	0.000760403
Gucy1a3	-0.194638104	6.282979813	1.20E-05	0.000777552
Trpc5	-0.289204393	6.167174665	1.21E-05	0.000777621
Sgpp2	0.239436108	4.920213102	1.25E-05	0.000799577
Rnd3	0.28347125	4.648159244	1.27E-05	0.000811453
Kcnk4	-0.36465622	2.710072255	1.31E-05	0.000832635
Cldn10	0.24070589	3.715314365	1.34E-05	0.000846157
Slc9a5	-0.227075315	4.050438976	1.34E-05	0.000846157
Plk5	-0.424206837	2.400980335	1.38E-05	0.000869007
Peli2	0.342810948	6.164233133	1.42E-05	0.000886584
Cygb	-0.300219582	3.608632196	1.49E-05	0.00092815
Inhba	0.761336809	3.322253388	1.50E-05	0.00092815
Syt7	-0.193207591	7.80180902	1.51E-05	0.00092815
Zfp40	-0.189522586	5.928532611	1.58E-05	0.000969995
Efna5	0.332778877	8.314025714	1.59E-05	0.000969995
Adamtsl4	-0.519986542	2.107559706	1.60E-05	0.000973756
Gk	-0.178518395	5.800139167	1.61E-05	0.000977587
Rgs14	-0.282374332	3.736263249	1.65E-05	0.000997718
Hsf5	-0.32173817	3.428807258	1.80E-05	0.001084151
Lepr	-0.26832272	3.17263469	1.83E-05	0.001093244
Emid1	-0.32899869	3.337053013	1.86E-05	0.001106189
Bzrap1	-0.211310649	6.966891896	1.87E-05	0.001106641
A230077H06Rik	-0.274043682	4.363950439	1.87E-05	0.001106641
Ppfia4	-0.220145463	5.332519939	1.92E-05	0.001129043
Samd14	-0.409153159	3.02987509	2.03E-05	0.001186547
Ccdc136	-0.200932761	5.826389372	2.06E-05	0.001201078
Fcrls	-0.377788283	2.675792385	2.13E-05	0.001238568
Itgbl1	-0.358997265	3.592997247	2.20E-05	0.001272398
Sfmbt2	-0.322564602	4.958126533	2.24E-05	0.00128869
Tmcc3	0.190090662	6.103822708	2.25E-05	0.001291164
Flrt3	0.296328893	5.245179353	2.27E-05	0.00129845
Mctp2	0.471062059	4.254140403	2.28E-05	0.00129845
Fgd1	-0.207914315	4.634334408	2.31E-05	0.001308271
F5	-0.765516796	1.056893037	2.33E-05	0.001316619
Pkd2l1	0.719171697	0.665221504	2.45E-05	0.001377411
Gm3558	-0.504713486	0.79582388	2.60E-05	0.001455141
Rnd1	-0.395040174	1.932550358	2.61E-05	0.001458181
Socs2	-0.27091896	3.111357992	2.79E-05	0.001551945
Trim46	-0.208523869	5.138589129	2.90E-05	0.001605293
Myh7	-0.767703855	0.097860444	2.91E-05	0.001605293
Trps1	0.239995291	9.026791854	3.01E-05	0.001654858
Smoc1	0.298759242	4.510927506	3.09E-05	0.001693609
Itgav	0.213452993	6.849934926	3.20E-05	0.001746183
Crym	-0.237535064	4.820830609	3.22E-05	0.0017469
Tshz1	0.503192222	6.205679406	3.34E-05	0.001807969
Il17rb	0.614047534	1.011273862	3.40E-05	0.001833972
Adam18	-0.334410931	2.408790982	3.42E-05	0.001834827
Lsm11	-0.387713417	4.02880657	3.48E-05	0.001863591
Dbndd1	-0.371271289	2.60302167	3.54E-05	0.001885815
Camk2d	0.190349223	8.070882508	3.57E-05	0.001894824
Scrn3	0.231672085	4.004095746	3.69E-05	0.001950559
Plcb4	0.277302165	7.296395556	3.75E-05	0.001977087
Camkk2	-0.185735249	7.034601554	3.78E-05	0.001981756
E130006D01Rik	-0.466273552	1.420670164	3.80E-05	0.001982238
Plk4	-0.345708986	2.195794561	3.80E-05	0.001982238
Asic4	-0.350109812	2.545747511	3.93E-05	0.002041449
Rimkla	-0.204005458	4.071559323	4.00E-05	0.002067328
Gprc5b	0.265437649	6.292597085	4.12E-05	0.00212443
Vwa3a	-0.326118829	3.621578687	4.16E-05	0.002136264
Aph1c	0.237376647	3.243092734	4.23E-05	0.002163559
Zak	0.287435159	4.955646161	4.31E-05	0.002199339
Nrgn	-0.224805443	6.731373923	4.36E-05	0.002214085
Ccdc28b	-0.225865456	3.566430016	4.58E-05	0.00231522
Gabrr2	0.551514205	1.792629934	4.69E-05	0.002364607
Ntsr1	-0.369688003	2.723185961	4.71E-05	0.002365313
Myo1b	0.235021301	6.685531271	4.74E-05	0.002375307
Angpt2	0.542202051	0.860728238	4.79E-05	0.002382373
Tbkbp1	-0.218979237	4.628327206	4.79E-05	0.002382373
Creb5	0.323744391	5.43717682	5.01E-05	0.002482054
Cttn	-0.163555523	5.980946529	5.21E-05	0.002572861
Adcy7	-0.336445376	2.353977642	5.32E-05	0.002615639
Gm2897	-0.505471041	0.879907602	5.36E-05	0.002626852
Epb41	0.228282051	7.160725407	5.43E-05	0.002653163
Syne2	0.191079601	5.836771944	5.66E-05	0.00274569
Rnf128	0.227518294	4.004120867	5.66E-05	0.00274569
Fam196a	0.185031992	4.819254043	5.70E-05	0.002755782
Ralgds	-0.176056287	6.04747074	5.89E-05	0.002838355
Cdh22	0.207009815	5.595469166	6.08E-05	0.00291693
Orai2	-0.215421054	4.556823331	6.09E-05	0.00291693
Ptk2b	-0.181807397	7.609719042	6.25E-05	0.002981662
Vmn2r84	-0.421481109	2.31848951	6.29E-05	0.002990864
Ociad2	0.252148564	5.120130153	6.38E-05	0.003024232
Fxyd6	-0.215840087	4.663272983	6.70E-05	0.003162065
Gm10635	-0.468397576	2.628064983	6.72E-05	0.003162065
Arhgef3	0.173581917	6.6911487	7.03E-05	0.003296384
Elavl4	0.201304921	7.110414753	7.11E-05	0.003296384
Pkib	-0.246959428	4.024439564	7.12E-05	0.003296384
Dusp16	0.200071067	4.981592623	7.12E-05	0.003296384
Galnt7	0.207277698	6.442602474	7.12E-05	0.003296384
Cdk6	0.235796175	4.405073498	7.16E-05	0.003296384
Ankrd13d	-0.245464855	4.743460363	7.17E-05	0.003296384
Pygm	0.361329508	3.109351003	7.25E-05	0.003320663
Lifr	0.189927576	6.458072312	7.27E-05	0.003320663
Ccdc134	0.259771137	4.252363284	7.45E-05	0.003394925
Celsr1	0.253300072	4.169113663	7.57E-05	0.003437116
Ank1	0.199847187	6.089044897	7.74E-05	0.003502929
Scml2	-0.363702752	2.18930138	7.80E-05	0.003508468
Zfp459	-0.342427575	1.912846115	7.80E-05	0.003508468
Dek	0.190360022	4.975442278	7.88E-05	0.003530726
Bcl9l	-0.221508921	4.274869402	7.98E-05	0.003567351
Tmem74	-0.36240702	2.146820412	8.17E-05	0.003637838
N4bp2	-0.1808142	4.828898162	8.33E-05	0.003699895
Acvr1c	0.235418126	5.359084804	8.42E-05	0.003728283
Enpp6	0.292795563	3.588681898	8.65E-05	0.003803912
Ccdc148	-0.250213548	5.862452303	8.67E-05	0.003803912
Ypel5	0.206799333	5.636238261	8.68E-05	0.003803912
Rai2	0.248481097	4.962121569	8.79E-05	0.003840355
Ubash3b	0.273121525	6.668181429	9.07E-05	0.003952011
Smpd3	-0.190882447	6.809482806	9.17E-05	0.00398436
Ifi203	-0.515764528	0.841680135	9.27E-05	0.00401521
Ehbp1l1	-0.288345572	3.066450324	9.30E-05	0.00401521
Unc13b	-0.215988335	6.971071403	9.42E-05	0.004053141
Nell1	0.305397542	8.29420936	9.49E-05	0.004071079
B3galt1	0.229867831	4.958558161	9.65E-05	0.004130008
Rgs11	-0.291346162	3.619227684	9.71E-05	0.004140756
Slc16a2	-0.262632245	6.088352716	9.88E-05	0.004200953
Gucy1a2	-0.21406637	8.443803887	9.94E-05	0.004213527
1700030F04Rik	-0.432611835	1.179184975	9.97E-05	0.004213995
Cplx3	-0.569048289	0.700053506	0.000100941	0.004254276
Iqsec2	-0.169350254	7.051266612	0.000102726	0.004316628
Gm3696	-0.431187953	1.005898138	0.000104581	0.004381553
Apol8	0.54498056	0.493609069	0.000107684	0.004498192
Palmd	-0.282097277	4.946070822	0.000108528	0.004520089
Phactr2	0.231444881	6.269439601	0.000108908	0.004522568
Ppp1r3f	0.207196831	4.241331038	0.00011102	0.00459675
Nwd2	-0.241748305	7.066206599	0.000111901	0.00461966
Mettl11b	-0.497395698	1.01982809	0.00011272	0.004639917
Ldlrad3	0.286809978	6.535290621	0.000113408	0.004654689
Drd3	0.348963671	2.112103037	0.000114048	0.00465944
Mast4	0.241679612	8.99736631	0.000114346	0.00465944
Adra2a	-0.413691323	2.620898796	0.000114514	0.00465944
Rhof	-0.216286979	3.946506118	0.000119218	0.004836877
Nek7	0.165120065	6.030763575	0.000120895	0.004890866
5930412G12Rik	-0.516242049	1.354624783	0.000121779	0.004912583
Dnah7b	-0.288545267	4.518339913	0.000124245	0.004991067
Tmpo	0.155906188	5.581919249	0.000124432	0.004991067
Deptor	0.192401057	5.444938568	0.000127003	0.005079749
Pdzph1	-0.369389227	2.312169469	0.000129053	0.005147191
Tpmt	0.286874923	2.258541155	0.000130651	0.005196223
Coch	-0.25435129	4.120794434	0.000134405	0.005330518
L1cam	-0.213605613	5.040846986	0.000138006	0.005457995
C030037D09Rik	0.386997703	2.217605928	0.000140036	0.005522822
Ccdc85a	-0.282748197	8.034383809	0.000140577	0.005528712
Wnt4	-0.272652601	3.273572909	0.000142188	0.005576516
Arhgap44	-0.19016586	7.581444911	0.000143691	0.005616759
4930553C11Rik	0.438622642	2.079404564	0.000144403	0.005616759
Krt77	-0.509322575	0.812424197	0.00014457	0.005616759
L3mbtl1	-0.307838792	3.63367948	0.000144805	0.005616759
Prr36	-0.302292877	2.581958101	0.000146172	0.005654246
Gulp1	-0.240434944	5.312522931	0.000147107	0.005674863
Fam43a	0.319932331	3.154381181	0.000149086	0.005720435
Gm12992	0.324309133	3.290411433	0.000149098	0.005720435
Tle2	-0.329066571	2.888266322	0.000152352	0.005829434
Echdc2	-0.406466323	2.874349669	0.000153262	0.005848391
Vmn2r87	-0.295480305	4.337018159	0.00015787	0.006005873
Peg10	0.467170051	4.214575477	0.00015824	0.006005873
Oxtr	-0.415812212	1.840027167	0.000164395	0.006222785
Rph3a	-0.213160366	6.95488747	0.00016735	0.006317682
Poln	-0.35149203	2.466692219	0.000170121	0.006405165
Icosl	-0.313650536	2.058407943	0.000170887	0.006416884
Shisa7	-0.223002846	6.327467888	0.00017164	0.006428082
Ephb6	-0.185906076	5.572854543	0.000173965	0.006486121
Ttr	-0.53102667	5.37679671	0.000174109	0.006486121
Adam33	-0.437262486	1.265569643	0.000175555	0.00652279
1190002N15Rik	0.258078184	5.292641844	0.000181048	0.006709219
Rhpn1	-0.309358385	2.65062588	0.000181942	0.006724719
Qk	0.153982518	9.522311507	0.000182508	0.006728006
Chst11	0.217356119	7.303515405	0.000183138	0.006733649
A230001M10Rik	0.272192281	3.398191283	0.000184104	0.006745045
Sidt1	-0.221755729	6.402039477	0.000184403	0.006745045
Ttc39b	0.163453772	6.915818272	0.000185244	0.006758279
Hs3st3a1	0.414118254	2.523768983	0.000185954	0.006766728
Hs3st1	0.180372887	5.791070093	0.000190867	0.00691161
Cdk19	0.163524782	7.33577232	0.000190915	0.00691161
C130026L21Rik	-0.3370874	1.972769613	0.000192366	0.006946345
Tmem91	-0.406235366	2.498956357	0.000194868	0.007018717
Rbms3	0.240834175	7.310585579	0.00019845	0.007129545
Lgi4	0.196067413	4.160648284	0.000199316	0.007142507
Anxa11	0.217674915	4.668088563	0.000201653	0.007207936
Dhdh	0.318388292	2.29308695	0.000204518	0.007291875
Col25a1	0.210747025	7.144514036	0.00021204	0.007541025
Nrp2	0.215494411	6.457073608	0.000215835	0.007656733
Lmo1	-0.296480908	3.179478836	0.000221022	0.00782106
Tex40	-0.431888675	1.203498901	0.000223107	0.007875112
Camsap3	-0.216725176	3.456297053	0.000224065	0.007889206
Kremen1	0.165338312	5.151706724	0.000226137	0.00794235
Kcnn3	-0.195825001	6.178928104	0.000227477	0.007969611
Telo2	-0.240057248	3.512677029	0.000229079	0.008005862
Podn	-0.369687891	1.83835552	0.000233965	0.008156433
Gm960	0.253678867	3.094450817	0.0002355	0.008189721
Nov	-0.299005598	4.262401641	0.000236884	0.00821311
Lrrc1	0.191886707	5.811588884	0.000237336	0.00821311
Pdzd4	-0.171444962	6.354373803	0.000239756	0.008267027
Plxna2	-0.206668382	8.46497877	0.000240462	0.008267027
Mxi1	0.165959214	6.252715555	0.000240651	0.008267027
Pde3a	0.340748162	4.693359292	0.000243892	0.008358042
Mob3b	0.21369597	4.819091764	0.000245913	0.008406893
Smc2	-0.211599528	4.054680676	0.000246711	0.008413804
Arg2	-0.36609556	2.02286838	0.000248287	0.008447127
Ntn5	0.395176034	2.401727242	0.000249998	0.00846852
Chka	-0.142943937	7.649815305	0.000250115	0.00846852
Stard10	0.18504756	4.435709143	0.000250871	0.00847379
Plxdc1	0.207931091	4.635883645	0.000254527	0.008576758
Gm10863	-0.368370248	3.45656302	0.0002561	0.008609242
Abcb10	-0.205681028	4.219165824	0.000261275	0.008762341
Pls3	-0.144107617	6.448303207	0.000265431	0.008880623
Nox4	-0.527283914	0.899311313	0.000267837	0.008939916
Osbpl5	-0.183711326	4.836612846	0.000270617	0.009011408
Otub2	-0.246706006	4.177134991	0.000273299	0.009046225
Slc7a2	0.228609044	5.317329589	0.000273684	0.009046225
Pdgfra	-0.261822971	4.709248639	0.000273943	0.009046225
Pacrg	0.225989893	6.853502206	0.000274225	0.009046225
Marcksl1	-0.430133451	2.50912431	0.000277245	0.00912452
Thsd7b	0.265592379	7.708923615	0.000279219	0.009160469
Efnb2	0.166604329	6.831111048	0.000279635	0.009160469
Chic1	0.14503283	6.078509439	0.000280627	0.00916485
Rasa3	0.191355924	6.659038361	0.000281067	0.00916485
Utrn	0.187393619	8.015119539	0.000283414	0.009220094
Disp1	0.238721519	5.316431304	0.000285557	0.009268466
Gdpd2	-0.491987138	1.056666424	0.00028678	0.009286804
Asah2	0.237426817	4.024322049	0.000289464	0.009352285
Pdzrn4	-0.277943993	7.478686883	0.000295017	0.009509911
