Gene	logFC	logCPM	PValue	FDR
Frzb	-0.579457789	4.518325716	6.17E-21	1.97E-18
Clec18a	-1.259921126	0.893762045	6.95E-21	2.17E-18
Efna5	0.486145234	5.417275458	9.09E-21	2.77E-18
Cdk18	-0.480115886	5.16427253	1.03E-20	3.06E-18
Esrrg	0.586984833	5.07034623	1.38E-20	4.02E-18
Sstr1	-0.454070011	5.19841401	2.80E-20	8.01E-18
Flrt3	0.582009898	5.017254214	5.27E-20	1.47E-17
Vopp1	-0.315053941	6.706600494	7.50E-20	2.06E-17
Grp	-0.946742935	2.422774836	1.14E-19	3.06E-17
Zfp395	0.524111696	4.123197307	4.84E-19	1.28E-16
Nell1	0.355996579	6.619877165	5.25E-19	1.36E-16
Col11a2	-0.628272081	3.542453667	8.89E-19	2.26E-16
Thsd7b	0.445910502	3.982541412	1.45E-18	3.63E-16
Slc27a3	-1.011289421	1.766605034	2.32E-18	5.68E-16
Fads1	-0.303869663	8.106291715	6.19E-18	1.49E-15
Wnt7b	-0.367037159	5.655966863	8.27E-18	1.96E-15
Sema5a	0.386488021	6.73944447	1.16E-17	2.69E-15
Slc6a7	-0.344702995	6.145836059	1.46E-17	3.33E-15
Rims3	0.393924009	6.338763863	1.62E-17	3.65E-15
Afap1l1	0.394231019	4.989822593	1.80E-17	3.98E-15
Hrh3	-0.366257151	6.573364587	2.09E-17	4.55E-15
Epb41l4b	0.439221124	3.967712555	2.85E-17	6.08E-15
Clstn2	0.267522296	7.159038216	2.88E-17	6.08E-15
Gpr17	-0.408672497	6.359181218	4.12E-17	8.57E-15
Rps6ka5	0.375892058	5.118479646	4.76E-17	9.76E-15
Arhgap33	-0.443165829	7.479804933	5.96E-17	1.20E-14
Serpina3n	-0.475950725	4.003905608	6.42E-17	1.28E-14
Lsm11	-0.437556633	5.565302449	1.12E-16	2.19E-14
Ehbp1l1	-0.367404405	4.426180623	1.82E-16	3.51E-14
Ankrd33b	0.288575223	7.606971656	1.98E-16	3.78E-14
Trabd2b	0.660433992	2.917969787	2.03E-16	3.81E-14
Necab3	-0.392630097	5.690256024	3.47E-16	6.43E-14
Pvalb	0.463350822	5.262778457	3.64E-16	6.65E-14
Hist2h2bb	0.510045334	5.542975134	3.96E-16	7.14E-14
Rac3	-0.494377584	3.651682693	4.51E-16	8.03E-14
Nrxn2	-0.298669272	9.291058525	4.98E-16	8.77E-14
Magi1	0.299275711	6.673396997	5.19E-16	9.01E-14
Plcd3	0.403495312	4.347774234	5.35E-16	9.18E-14
Ccnd1	-0.35422847	5.809056953	6.38E-16	1.08E-13
Plcb4	0.527859257	5.493266567	6.58E-16	1.10E-13
Rgs19	-0.392233721	3.741783945	6.83E-16	1.13E-13
Myl4	-0.67554819	3.774708278	8.68E-16	1.42E-13
Scg5	0.270704374	7.215149279	8.89E-16	1.43E-13
Myh7	-0.546625932	3.034003051	9.37E-16	1.49E-13
Kcns1	0.436497901	4.929097471	9.86E-16	1.55E-13
Slc24a2	0.389968212	9.379741116	1.00E-15	1.56E-13
G630025P09Rik	-1.460595049	-0.138592082	1.18E-15	1.82E-13
Bcl2l11	0.541874883	3.384665764	1.25E-15	1.91E-13
Lrp4	-0.409086957	6.776017497	1.57E-15	2.36E-13
Sptb	0.272984767	8.748874381	1.87E-15	2.79E-13
Vamp1	0.414519526	7.613828153	2.03E-15	3.00E-13
Pbxip1	-0.31454707	5.75132612	2.35E-15	3.42E-13
Cntn5	0.422972093	4.501308695	2.39E-15	3.45E-13
Gdf11	-0.565861772	3.189114701	2.67E-15	3.81E-13
Cdh6	0.418995737	5.146824011	2.85E-15	4.03E-13
Slc2a13	0.320344504	7.663852458	3.39E-15	4.74E-13
Bhlhe41	0.327683873	5.856445573	3.68E-15	5.09E-13
Mmp15	-0.438950644	5.094219692	4.00E-15	5.46E-13
Nxph4	-0.773978662	2.325268327	4.02E-15	5.46E-13
Cabp7	0.358536769	4.4983607	4.37E-15	5.88E-13
Gm5607	0.481569101	3.856504458	5.04E-15	6.72E-13
Gm13889	-0.384230166	4.811784377	5.19E-15	6.85E-13
Adamtsl4	-0.640003199	3.04308831	5.40E-15	7.05E-13
Lpl	-0.569547812	3.419228914	6.59E-15	8.53E-13
L1cam	-0.292496882	7.681668127	7.20E-15	9.23E-13
Shisa4	-0.374325736	6.246364883	8.29E-15	1.05E-12
Rasgrf1	0.257021464	9.106948137	8.44E-15	1.06E-12
Robo3	-0.77803065	2.17720241	9.17E-15	1.14E-12
Kirrel2	-0.52018459	3.15025621	1.04E-14	1.28E-12
Hcn3	-0.453547157	4.218095749	1.04E-14	1.28E-12
Plekha5	0.312162313	6.053030068	1.05E-14	1.28E-12
Vcam1	-0.493251998	4.422087061	1.18E-14	1.42E-12
Ptprf	-0.293369019	7.469731912	1.21E-14	1.44E-12
Zdhhc22	-0.414085451	4.274144281	1.56E-14	1.84E-12
Lyz2	-0.615669826	2.721363687	1.60E-14	1.87E-12
Pde4dip	-0.266426763	8.354394569	1.91E-14	2.22E-12
Srebf1	0.391469634	6.555469884	1.98E-14	2.28E-12
Rora	0.680389291	6.906731303	2.24E-14	2.56E-12
Zfpm2	0.341692548	4.557223339	3.10E-14	3.50E-12
Cyp26b1	-0.505002049	4.105670905	3.11E-14	3.50E-12
Me3	0.352948151	5.535274433	4.72E-14	5.27E-12
Peg13	0.240718543	9.198230439	5.43E-14	6.01E-12
Nav1	-0.289914052	7.206612906	7.24E-14	7.94E-12
Large	-0.235009684	7.993451869	8.85E-14	9.64E-12
Bmper	0.569413744	3.840424758	1.09E-13	1.18E-11
Tnfrsf12a	-0.721676379	1.797932813	1.26E-13	1.35E-11
Plpp1	0.304890188	4.734351776	1.37E-13	1.46E-11
2700081O15Rik	-0.296151952	5.763359757	1.67E-13	1.76E-11
Zmat4	0.495198174	5.826111838	1.82E-13	1.90E-11
C1qtnf1	-0.555264421	3.073184427	1.84E-13	1.91E-11
H2-Aa	-1.12917863	0.805965338	2.15E-13	2.22E-11
Tbr1	0.245740764	7.28886708	2.34E-13	2.39E-11
9430021M05Rik	0.456340953	3.375273723	3.02E-13	3.07E-11
Runx2	0.584052911	3.334004742	3.37E-13	3.40E-11
E2f1	-0.412231479	3.818475246	3.81E-13	3.81E-11
Trpc6	-0.374531346	4.803758159	4.31E-13	4.29E-11
Ptgfrn	0.370779523	6.400281989	4.36E-13	4.30E-11
Glra3	-0.624667786	1.904547752	4.52E-13	4.43E-11
Oxtr	-0.491590779	3.395811868	4.97E-13	4.84E-11
Stab1	-0.396583323	5.054940261	5.99E-13	5.79E-11
Adcyap1	-0.451015404	4.024242765	6.91E-13	6.63E-11
Fzd8	-0.547965932	2.710084783	7.63E-13	7.26E-11
Tcn2	-0.406081416	4.60432159	8.41E-13	7.95E-11
Npas1	-0.622172289	2.819236188	8.64E-13	8.12E-11
Fam53b	0.304628829	6.602136959	1.03E-12	9.64E-11
Scube3	-0.525187123	2.347839172	1.14E-12	1.05E-10
Nov	-0.304315844	6.454674119	1.15E-12	1.05E-10
Lrp1b	0.242828725	6.906498577	1.24E-12	1.14E-10
Abcc5	0.253702726	6.825025336	1.33E-12	1.20E-10
Amz1	-0.398115142	3.964236312	1.33E-12	1.20E-10
5930412G12Rik	-0.830460153	1.455418321	1.35E-12	1.21E-10
Grin3a	-0.359335715	6.14986052	1.43E-12	1.28E-10
Shroom3	0.391621351	3.434850666	1.52E-12	1.35E-10
Rxfp3	-0.680918482	1.758498392	1.54E-12	1.35E-10
Sept6	-0.287447049	6.094175312	1.85E-12	1.62E-10
Zkscan16	0.396287113	4.856263475	2.55E-12	2.21E-10
Pcdh7	0.316594222	7.673993945	2.84E-12	2.45E-10
Rbms1	0.446427013	3.312681494	3.11E-12	2.66E-10
Lrrc75b	-0.362754659	4.011964023	3.38E-12	2.88E-10
Unc5d	0.365108606	5.849210197	3.71E-12	3.14E-10
Myo1b	0.416100487	5.055255504	3.78E-12	3.18E-10
Sst	-0.30921669	6.768777565	3.92E-12	3.28E-10
Asic4	-0.437420827	4.706606204	4.05E-12	3.36E-10
Cdh18	0.343461212	4.694896103	4.13E-12	3.41E-10
Ssbp2	0.230546934	6.870229766	4.23E-12	3.48E-10
Rph3a	-0.240552673	8.907356675	4.35E-12	3.55E-10
Tmem8b	-0.203829619	6.937955397	4.40E-12	3.57E-10
Bcl9l	-0.274985638	5.860130112	4.86E-12	3.92E-10
Gfra1	0.328052423	6.246710986	4.99E-12	4.00E-10
Car4	-0.336548827	4.190946583	6.04E-12	4.82E-10
Slc16a14	-0.444470143	2.74855578	6.76E-12	5.35E-10
Colq	-1.035730103	0.762158833	6.79E-12	5.35E-10
Sorcs1	0.281386068	5.705791373	7.21E-12	5.65E-10
Olfm3	0.466443518	4.998217689	8.19E-12	6.38E-10
Spag6l	-0.456489358	2.728485142	8.26E-12	6.40E-10
Rhbdl3	-0.405963383	5.059102497	8.64E-12	6.66E-10
Dennd1b	0.263419524	5.967887353	9.25E-12	7.08E-10
Bhlhe40	0.284721639	7.319135644	9.69E-12	7.39E-10
Crh	-0.892610326	1.695185215	1.09E-11	8.26E-10
Slc24a4	0.322865443	5.001006654	1.17E-11	8.81E-10
Cyp11a1	-0.790743904	1.37860486	1.18E-11	8.82E-10
Lcat	-0.353705961	4.315243202	1.20E-11	8.93E-10
Lhfpl4	-0.213792712	7.174577074	1.26E-11	9.31E-10
Pdgfra	-0.288279396	5.84488743	1.34E-11	9.85E-10
Sept3	-0.187064574	8.847685114	1.46E-11	1.07E-09
Itga11	0.575712951	1.960503455	1.54E-11	1.12E-09
Sipa1l2	0.23992119	7.181981787	1.57E-11	1.14E-09
Tgfb1i1	-0.46474992	3.43026937	1.75E-11	1.26E-09
Igfbp5	-0.299850815	7.340518003	1.83E-11	1.31E-09
Wnk4	-0.679389591	1.801036144	1.87E-11	1.33E-09
Cdh12	0.40281995	4.815653997	1.88E-11	1.34E-09
Pls3	-0.292978064	6.671535955	1.89E-11	1.34E-09
Mast4	0.254353903	6.832338214	1.92E-11	1.35E-09
Rbms3	0.557420434	4.612408094	2.02E-11	1.41E-09
Dhrs13	-0.399070363	2.99994806	2.13E-11	1.48E-09
Elfn1	-0.314048574	4.823697298	2.38E-11	1.65E-09
Plxna2	-0.241287724	7.829686545	2.43E-11	1.67E-09
Crmp1	-0.263791195	7.81154485	3.09E-11	2.12E-09
Doc2a	-0.358405679	5.29902086	3.20E-11	2.18E-09
Myo3b	-0.799684103	1.070901864	3.29E-11	2.24E-09
Aff1	0.287595639	5.117374846	3.33E-11	2.25E-09
Ache	-0.393729066	6.047202028	3.51E-11	2.36E-09
AW551984	-1.239382148	3.848126542	3.68E-11	2.46E-09
Zak	0.548820834	3.827554217	3.76E-11	2.50E-09
Eda	-0.391630984	3.143502893	3.87E-11	2.57E-09
Fbln1	-0.431233696	3.893341636	4.00E-11	2.64E-09
Fxyd7	-0.389147385	5.251379239	4.33E-11	2.85E-09
Strip2	-0.271965022	5.494396623	4.54E-11	2.97E-09
Ctgf	-0.265605575	5.393687381	4.66E-11	3.03E-09
Zbtb7c	0.424550718	3.537267802	4.83E-11	3.12E-09
Ntn5	0.522659922	2.758898552	4.91E-11	3.16E-09
Igsf3	0.285151719	5.889774785	5.06E-11	3.24E-09
Rgs20	-0.33384063	4.103161094	5.14E-11	3.28E-09
Gdpd2	-0.643669271	1.885291916	5.18E-11	3.29E-09
Bbs9	0.296553346	5.60859462	5.81E-11	3.67E-09
Abca5	0.338488098	6.222314526	5.85E-11	3.68E-09
Ackr3	0.399058326	4.045353492	6.25E-11	3.91E-09
Lifr	0.272121115	6.724857947	6.27E-11	3.91E-09
Ephb6	-0.289743551	7.120952378	6.34E-11	3.93E-09
Wwc1	-0.316086164	6.360466235	6.54E-11	4.04E-09
Cds1	0.229473474	7.183256947	6.62E-11	4.07E-09
Pacsin2	0.342161297	5.869429925	7.31E-11	4.48E-09
Ccser1	0.326631461	4.308983142	7.37E-11	4.49E-09
Sla	-0.511550712	3.184255303	7.48E-11	4.54E-09
Camkk2	-0.237965777	8.358302207	7.89E-11	4.75E-09
Pabpc4	-0.321611095	4.33022385	7.90E-11	4.75E-09
Plagl1	0.4574082	4.367598333	8.64E-11	5.17E-09
Slc8b1	0.434972121	3.133606736	9.92E-11	5.92E-09
Kcng1	-0.40298931	5.101712505	1.08E-10	6.40E-09
Dpy19l1	0.289854107	6.994512853	1.08E-10	6.40E-09
Cntn4	0.317609259	5.632373501	1.13E-10	6.65E-09
Dleu7	-0.466168558	2.758526229	1.14E-10	6.69E-09
Cd74	-0.772439052	1.984520371	1.19E-10	6.94E-09
Celsr1	0.301186018	4.759726986	1.24E-10	7.19E-09
Ppm1l	0.243704352	6.883753662	1.24E-10	7.19E-09
Cd34	-0.288467443	5.898067196	1.27E-10	7.34E-09
Vgf	-0.266411859	8.341754924	1.32E-10	7.55E-09
Cirbp	0.537330734	5.41918634	1.46E-10	8.33E-09
Sypl2	-0.673873724	1.59173644	1.52E-10	8.66E-09
Kcng2	0.356454978	4.044479032	1.58E-10	8.96E-09
Col6a3	-0.53394761	2.363048806	1.70E-10	9.57E-09
Adam19	-0.360935945	5.048413147	1.80E-10	1.01E-08
Maf	0.396993399	4.156632301	1.95E-10	1.09E-08
S100b	-0.276084252	6.388613904	2.07E-10	1.15E-08
Cspg4	-0.295893508	5.385692564	2.29E-10	1.27E-08
Rpe65	-1.280856865	0.1799762	2.44E-10	1.35E-08
Dgkg	0.28774477	7.088367171	2.46E-10	1.36E-08
Etnppl	1.067410987	3.825530823	2.77E-10	1.52E-08
Tmem183a	-0.267492439	6.198544636	2.83E-10	1.55E-08
Nap1l2	0.355051204	6.161830909	2.99E-10	1.63E-08
Nos1	-0.244264463	7.017089961	3.19E-10	1.73E-08
Chst8	0.362315915	4.32632128	3.30E-10	1.78E-08
Camk1	-0.285051695	5.792035267	3.43E-10	1.85E-08
Itgb4	-0.394673097	4.211960848	3.73E-10	2.00E-08
Nrtn	-0.768066827	1.43851862	3.78E-10	2.02E-08
Pygm	0.313945884	5.841236776	3.95E-10	2.09E-08
Cys1	-0.578860718	2.596984207	3.95E-10	2.09E-08
Sidt1	-0.296716539	6.05270896	4.05E-10	2.14E-08
Fcrls	-0.391809045	4.922234794	4.48E-10	2.36E-08
B930041F14Rik	0.303010111	5.102173413	4.80E-10	2.51E-08
Ptbp3	0.294690455	5.286567454	5.14E-10	2.68E-08
Ptprt	0.247941456	7.85301002	5.21E-10	2.71E-08
Rassf3	0.316356072	5.533260666	5.39E-10	2.79E-08
Hlf	0.314064926	7.604327466	5.54E-10	2.86E-08
Tmprss7	-0.756875791	1.132553759	6.12E-10	3.14E-08
Slmo1	0.28107374	5.145517374	6.23E-10	3.19E-08
Cntnap5c	-0.397568756	3.294405465	6.63E-10	3.38E-08
Tshz1	0.524075166	5.822510837	6.73E-10	3.42E-08
Wls	-0.344174978	5.164735999	6.82E-10	3.45E-08
Flywch1	0.237992554	8.216810754	7.16E-10	3.61E-08
Gli1	0.895364555	1.493898436	7.21E-10	3.62E-08
Shank1	-0.240311792	10.21964125	7.58E-10	3.80E-08
Camta1	0.264880363	7.901132357	7.69E-10	3.84E-08
Slc20a2	0.236970555	6.479716862	8.72E-10	4.33E-08
Crybg3	0.469578895	3.268199014	9.21E-10	4.56E-08
Wnt2	-0.487224311	2.433250434	9.71E-10	4.79E-08
Klk8	-0.736004154	1.038450756	9.81E-10	4.83E-08
Gm13629	0.753241287	1.027323634	9.91E-10	4.85E-08
Cbx7	0.227375018	5.76274962	1.06E-09	5.18E-08
Tspan9	0.255560055	6.462096027	1.09E-09	5.28E-08
Bcat1	0.192546339	7.262099944	1.12E-09	5.42E-08
Kcnk2	0.301564804	5.938935261	1.16E-09	5.63E-08
Sema3f	-0.412151763	3.836557399	1.18E-09	5.69E-08
Nkd1	-0.291360719	3.892068374	1.30E-09	6.23E-08
Pdia4	-0.411414658	6.136273835	1.34E-09	6.40E-08
Tigar	-0.26340052	4.981472374	1.39E-09	6.63E-08
Stc2	-0.875809411	0.48836185	1.45E-09	6.90E-08
Frmpd3	-0.22068279	6.279287175	1.48E-09	6.99E-08
Fto	0.205966288	8.195058039	1.50E-09	7.07E-08
Gap43	-0.359094842	6.413363133	1.53E-09	7.16E-08
Met	-0.377467077	3.586434985	1.53E-09	7.16E-08
Tox3	0.433469117	3.658355849	1.59E-09	7.41E-08
Scn7a	-0.598707956	2.172390518	1.70E-09	7.92E-08
Cited4	0.466010059	3.472925399	1.72E-09	7.97E-08
Mir9-3hg	0.355468336	4.493332743	1.85E-09	8.55E-08
F5	-0.847961406	2.852090859	1.96E-09	9.01E-08
Cpne6	-0.252619344	7.269514614	2.18E-09	9.98E-08
Epha10	-0.297317981	5.585789187	2.24E-09	1.02E-07
Vmp1	-0.200819989	6.912857909	2.36E-09	1.08E-07
Ccdc149	0.240539674	6.284744841	2.47E-09	1.12E-07
Adcy7	-0.492975679	2.898010293	2.63E-09	1.19E-07
Id4	0.291365178	5.698284659	2.94E-09	1.33E-07
Ptgs1	-0.30527228	4.192169684	2.96E-09	1.33E-07
Pou3f1	0.271851865	5.394108277	3.01E-09	1.35E-07
Wnt2b	-0.572701343	1.887852121	3.05E-09	1.36E-07
Tacr1	-0.469158271	3.247505474	3.06E-09	1.36E-07
Acss1	-0.283440609	4.888482049	3.13E-09	1.39E-07
Foxp1	0.274190964	6.890858141	3.13E-09	1.39E-07
Mycl	-0.339615706	4.575665528	3.16E-09	1.39E-07
Snca	-0.198787471	7.178243425	3.18E-09	1.40E-07
Ace	-0.311792554	5.267770051	3.27E-09	1.43E-07
Fat1	0.219138422	7.878950702	3.28E-09	1.43E-07
Ncan	-0.263192267	9.134972689	3.40E-09	1.48E-07
Deptor	0.335561968	5.183468323	3.49E-09	1.51E-07
Homer3	-0.3565439	3.546906481	3.65E-09	1.58E-07
Mturn	0.241214812	7.70994006	3.79E-09	1.63E-07
Slc2a4	0.904492554	0.751059086	3.86E-09	1.66E-07
Tspan4	-0.438832036	3.087168048	4.21E-09	1.80E-07
Tspan6	-0.365205521	3.946214355	4.43E-09	1.90E-07
Ptprg	0.194852687	6.905830125	4.52E-09	1.93E-07
Aldh1a1	-0.454737688	5.021946729	4.66E-09	1.98E-07
Grm2	-0.290407115	6.213833782	4.67E-09	1.98E-07
Kcna1	0.259425099	8.1142721	5.00E-09	2.11E-07
Tbc1d1	0.238433578	5.413458339	5.02E-09	2.11E-07
Trim8	-0.182634912	7.255234503	5.24E-09	2.20E-07
Lrrc20	0.272075312	5.07131092	5.38E-09	2.25E-07
Fam180a	-0.688292886	1.465081331	5.45E-09	2.27E-07
Dlg3	-0.231199371	7.440521679	5.46E-09	2.27E-07
Prph	-0.940194183	0.465805263	5.49E-09	2.28E-07
Grm3	-0.226380553	6.8727489	5.61E-09	2.32E-07
Nog	-0.38889844	3.088408281	5.69E-09	2.34E-07
Adamtsl1	0.282971376	3.964755648	5.75E-09	2.36E-07
Slc35d3	-0.411784504	2.935119609	5.87E-09	2.40E-07
Bmp3	0.338627758	4.483394607	6.02E-09	2.46E-07
Scn5a	0.412368573	4.344449737	6.35E-09	2.59E-07
Jarid2	0.278794938	5.369566302	6.52E-09	2.65E-07
Hist3h2a	0.278234306	5.770467371	6.54E-09	2.65E-07
Tmem158	-0.219623186	6.361727625	6.70E-09	2.70E-07
Plekha7	0.337770127	4.671343541	6.89E-09	2.77E-07
Sntb2	0.29996446	4.538338333	6.92E-09	2.78E-07
Kcnab2	0.236651668	9.407601228	7.02E-09	2.81E-07
Nova1	0.392072006	5.715757186	7.23E-09	2.88E-07
Foxo3	0.189297574	6.301576941	7.79E-09	3.10E-07
Shisa7	-0.262445692	7.416532936	7.88E-09	3.12E-07
Sox5	0.328895572	5.272288872	8.14E-09	3.22E-07
Lrrtm4	0.261081416	5.347227003	8.28E-09	3.26E-07
Pacrg	0.295744084	3.926468633	8.45E-09	3.32E-07
Slc7a10	-0.290411737	4.892654095	9.07E-09	3.55E-07
Abca1	0.275726486	6.323106396	9.15E-09	3.58E-07
Robo1	0.210179695	6.1093571	9.49E-09	3.70E-07
Nlgn3	-0.181014505	7.775612654	9.54E-09	3.70E-07
Dnajb11	-0.30015386	5.211523453	9.56E-09	3.70E-07
4933439C10Rik	0.473222261	2.677375319	9.81E-09	3.79E-07
Megf10	0.260667825	5.285665886	9.90E-09	3.81E-07
B3galt1	0.371453946	5.56453051	1.03E-08	3.96E-07
Aff2	0.301754325	4.343529033	1.05E-08	4.02E-07
Gpr150	-0.509025461	2.035734921	1.08E-08	4.11E-07
Rbm3	0.591910818	4.102929486	1.09E-08	4.15E-07
Terc	-0.90969365	0.247181488	1.11E-08	4.22E-07
Plxdc1	0.279195967	5.196226697	1.12E-08	4.26E-07
Tox	0.336812523	4.581090436	1.17E-08	4.43E-07
Dusp18	-0.288380285	4.937041868	1.26E-08	4.75E-07
Crb1	-0.809780794	0.901066499	1.27E-08	4.77E-07
Eme2	-0.308515918	3.482355121	1.29E-08	4.83E-07
Dpysl3	-0.274525862	6.001956396	1.40E-08	5.24E-07
Hist2h2ab	0.596479803	2.047843967	1.41E-08	5.25E-07
Hs3st4	0.229388891	6.143688745	1.43E-08	5.32E-07
Sox1	0.278886734	5.02906336	1.47E-08	5.46E-07
Trps1	0.284064962	5.538232454	1.56E-08	5.75E-07
Gamt	-0.432849268	3.474150979	1.56E-08	5.77E-07
Vcan	-0.378891969	4.036986519	1.63E-08	6.01E-07
Opn3	-0.431328796	2.651931537	1.73E-08	6.32E-07
Zfp516	0.313928389	5.506421392	1.73E-08	6.32E-07
Sstr2	0.316534296	4.816107486	1.74E-08	6.35E-07
Oprm1	-0.543844547	2.422441288	1.75E-08	6.38E-07
Bcl6	0.316050692	5.200950242	1.79E-08	6.50E-07
Mxi1	0.222184854	6.222658975	1.83E-08	6.60E-07
Pcmtd1	0.3245923	5.830140803	1.83E-08	6.60E-07
Rassf5	0.219306616	5.142522474	1.90E-08	6.83E-07
Neu4	-0.328020725	3.310784656	1.90E-08	6.83E-07
Ephx2	-0.361351834	4.433206488	1.91E-08	6.83E-07
Cgref1	-0.424460186	3.595633624	1.94E-08	6.95E-07
Slc36a4	0.312666754	4.813700941	1.96E-08	7.00E-07
Slc25a34	-0.350206313	2.982239107	1.97E-08	7.01E-07
Otub2	-0.326353511	5.620850345	1.98E-08	7.03E-07
Rdh5	-0.479897035	2.139397749	2.06E-08	7.27E-07
Hist1h1c	0.422484989	5.406087417	2.11E-08	7.45E-07
Zfp385b	0.282641383	5.211216838	2.13E-08	7.48E-07
Ppm1k	0.316358747	6.4900825	2.15E-08	7.55E-07
Tppp3	-0.359767923	4.697130891	2.18E-08	7.62E-07
Cntnap2	0.211307166	7.261527818	2.26E-08	7.91E-07
Col9a3	-0.374439308	3.350489336	2.37E-08	8.26E-07
Sun2	0.249527852	6.320494977	2.69E-08	9.35E-07
Socs7	-0.17748633	7.691015412	2.74E-08	9.49E-07
Gm10635	-0.712582017	1.13116486	2.76E-08	9.53E-07
Fam19a2	0.293923945	5.727603196	2.76E-08	9.53E-07
Micu1	0.20386164	6.969631554	2.81E-08	9.67E-07
Mef2a	0.298385758	6.918620848	2.87E-08	9.85E-07
Tshz3	0.275336884	5.535967072	2.89E-08	9.88E-07
Chn2	0.283612684	5.522126894	2.97E-08	1.01E-06
Slc18a3	-0.527665788	2.141758318	2.97E-08	1.01E-06
Lamc2	0.294251755	4.706005137	3.05E-08	1.03E-06
Vwa5b1	-0.635399459	2.509611819	3.05E-08	1.03E-06
Hdac9	0.28881844	5.776404551	3.09E-08	1.04E-06
Ppargc1a	0.28562375	5.531444836	3.16E-08	1.07E-06
Scn1a	0.304813986	7.522405713	3.22E-08	1.08E-06
Nab1	0.202196904	5.094696001	3.24E-08	1.09E-06
Npbwr1	-0.949286301	0.34362544	3.44E-08	1.15E-06
Cbln2	0.24939459	5.478422085	3.45E-08	1.15E-06
Thbs4	-0.521031632	3.548870214	3.72E-08	1.24E-06
Rrad	-0.762793437	0.852837829	3.74E-08	1.24E-06
Lag3	-0.452156349	2.483547151	3.77E-08	1.25E-06
Klhdc8b	-0.324979171	4.452900048	3.81E-08	1.26E-06
Sema4g	-0.305857276	4.595295472	3.90E-08	1.29E-06
Hist2h4	0.34331469	5.26044682	3.94E-08	1.30E-06
Prickle1	0.172203152	7.321773728	4.02E-08	1.32E-06
Cpt1a	-0.247364804	5.155004673	4.03E-08	1.32E-06
Galnt7	0.428382663	3.29807246	4.09E-08	1.33E-06
Cad	-0.2964318	5.280261965	4.14E-08	1.35E-06
Plekho2	0.367304285	4.456184231	4.32E-08	1.40E-06
Gm10432	-0.581664011	1.503331922	4.32E-08	1.40E-06
Car15	-0.434716942	2.501892148	4.35E-08	1.41E-06
Cttn	-0.200335734	6.749957492	4.50E-08	1.45E-06
Ydjc	-0.34655693	4.023399097	4.57E-08	1.47E-06
Slc40a1	-0.340667187	3.210950636	4.58E-08	1.47E-06
Mbnl2	0.256910631	7.480212393	4.61E-08	1.48E-06
