Gene	logFC	logCPM	PValue	FDR
Esrrg	0.526591999	7.381513623	6.03E-11	1.13E-08
Soga1	-0.272517853	6.067775142	6.23E-11	1.15E-08
Itga11	0.515283981	3.236428502	6.74E-11	1.23E-08
Tnfrsf23	-0.965947817	0.815891512	6.92E-11	1.25E-08
Smad9	0.33751841	3.995234686	8.28E-11	1.48E-08
Hcn3	-0.423031891	2.941656806	8.59E-11	1.51E-08
Igfbp2	-0.670747814	2.607530761	8.71E-11	1.51E-08
Gfra1	0.466759303	5.976342175	9.41E-11	1.62E-08
Fat1	0.295851989	6.90009192	1.16E-10	1.96E-08
Dpy19l1	0.312509804	7.342950342	1.17E-10	1.96E-08
Tbr1	0.375903795	5.19718776	1.25E-10	2.08E-08
Rps6ka5	0.31306172	7.262049969	1.34E-10	2.19E-08
Scn5a	0.419764556	3.604938477	1.40E-10	2.27E-08
Fyb	-0.470068976	2.779631698	1.58E-10	2.53E-08
Traip	-0.456976165	4.432654027	1.64E-10	2.60E-08
E330020D12Rik	-0.929668144	0.319416907	1.66E-10	2.60E-08
Colq	-1.011500246	0.454483036	1.73E-10	2.68E-08
Twist2	0.567255524	2.241954514	1.79E-10	2.74E-08
Impg2	-0.605180468	2.924114555	2.07E-10	3.13E-08
Papln	0.701778129	2.053336511	2.27E-10	3.38E-08
Mndal	-0.654476908	1.359178595	2.28E-10	3.38E-08
Lamc2	0.447164509	3.2600344	2.35E-10	3.45E-08
Csf3r	-0.579398574	2.418960107	3.24E-10	4.71E-08
4930593A02Rik	-0.350308788	3.078698817	3.31E-10	4.76E-08
Fhdc1	0.423677954	3.734668236	3.85E-10	5.47E-08
Thsd7b	0.520330405	7.859563339	3.88E-10	5.47E-08
Btla	-0.694391629	1.350060308	4.34E-10	6.05E-08
Cnr1	0.29134009	7.679408311	4.83E-10	6.68E-08
Gm10406	-0.854132226	0.534237193	5.06E-10	6.92E-08
Elavl4	0.291910838	7.25133498	5.82E-10	7.89E-08
Robo3	-0.725008592	3.579647591	6.11E-10	8.20E-08
Bcat1	0.275714566	5.900319661	6.31E-10	8.38E-08
Hkdc1	-0.637311699	2.516905257	6.56E-10	8.64E-08
Gap43	-0.351750162	6.317567706	6.81E-10	8.88E-08
F5	-0.914513087	1.196250084	8.19E-10	1.06E-07
Reck	0.263009508	5.887122371	8.31E-10	1.07E-07
Scn9a	-0.787807243	4.123107873	8.47E-10	1.07E-07
Flrt3	0.440196942	5.295909784	8.48E-10	1.07E-07
Pdzd7	-0.504568083	2.353309447	8.78E-10	1.09E-07
Tbc1d1	0.324935223	6.476587923	8.88E-10	1.10E-07
Dok3	-0.567473326	1.801289863	8.98E-10	1.10E-07
Prss23	0.442166855	3.937161667	1.12E-09	1.36E-07
Dcdc2c	-0.852870778	0.514569823	1.19E-09	1.43E-07
Bcl2l11	0.412886689	3.262869256	1.23E-09	1.47E-07
Plod1	-0.381422233	3.617998387	1.33E-09	1.58E-07
Crispld2	0.625537124	1.439200123	1.48E-09	1.74E-07
Cfap45	-0.52664895	2.124058836	1.57E-09	1.83E-07
Elovl2	0.334349451	4.342806574	1.63E-09	1.88E-07
A330102I10Rik	0.338974744	5.951344791	1.78E-09	2.04E-07
Lrig1	0.293478628	6.086166449	1.81E-09	2.06E-07
Rbms1	0.270113582	7.197622795	1.83E-09	2.06E-07
Snx24	0.289724776	6.092323786	2.11E-09	2.36E-07
Bmp3	0.359174607	3.978297258	2.36E-09	2.62E-07
Ptbp3	0.261342475	6.419465589	2.65E-09	2.91E-07
Tox	0.396207564	8.140040327	2.66E-09	2.91E-07
Rnf182	0.302185701	4.808010182	2.81E-09	3.04E-07
Scn7a	-0.76919438	2.826421335	2.93E-09	3.13E-07
Hlf	0.264324788	6.572983054	2.93E-09	3.13E-07
Dmpk	-0.434396982	3.285877624	3.39E-09	3.59E-07
Myo5c	0.497487668	3.234149152	3.49E-09	3.67E-07
Zc3h6	0.30073351	6.072793134	5.52E-09	5.76E-07
Rcor2	-0.495011959	1.937838987	6.16E-09	6.38E-07
Cd200r1	-0.57528923	1.511568246	6.24E-09	6.42E-07
A730017C20Rik	0.359187437	4.850156646	6.34E-09	6.47E-07
Fam189a2	0.348780096	4.116510862	6.85E-09	6.94E-07
Fam124a	-0.274746736	4.981581082	6.89E-09	6.94E-07
Adam8	-0.632767501	1.556054188	6.95E-09	6.95E-07
Abca17	-0.556322893	1.80044721	7.26E-09	7.20E-07
Foxo6	-0.363710288	3.500612003	7.42E-09	7.31E-07
Pkib	-0.368325813	4.142498061	7.56E-09	7.40E-07
Cys1	-0.518508135	3.217995536	7.76E-09	7.54E-07
Plcd3	0.379523519	3.232032729	8.06E-09	7.77E-07
Gli3	0.290340166	6.514753187	8.67E-09	8.31E-07
Hist1h2be	-0.344657203	4.143433995	9.06E-09	8.63E-07
Pth2r	-0.671085007	2.090728286	9.15E-09	8.65E-07
Ociad2	0.347866515	5.292385515	9.45E-09	8.88E-07
Epb41l4b	0.30649551	5.643510377	9.65E-09	8.98E-07
Bach2	0.327954568	6.618860305	9.68E-09	8.98E-07
Spag6l	-0.379720892	4.158195786	9.75E-09	8.98E-07
Echdc2	-0.40647799	2.677820868	1.05E-08	9.59E-07
Pkd1l3	-0.753352601	0.79155079	1.06E-08	9.59E-07
Nfam1	-0.681758745	1.17867091	1.07E-08	9.67E-07
Slit1	0.265819869	6.766656372	1.08E-08	9.71E-07
Cadps2	0.288469731	8.045522497	1.10E-08	9.79E-07
Slc29a4	-0.495858421	2.344064194	1.10E-08	9.79E-07
Rasgef1b	0.303476501	6.147817882	1.26E-08	1.11E-06
Ccdc138	-0.301464276	4.411037823	1.32E-08	1.15E-06
Hpgds	-0.454081429	3.461287805	1.35E-08	1.18E-06
Etnppl	0.775767158	4.752738665	1.40E-08	1.21E-06
Antxr1	0.27301437	6.057425002	1.57E-08	1.35E-06
AU022754	-0.686496735	1.138597627	1.70E-08	1.46E-06
Efemp1	-0.395741747	3.415975279	1.81E-08	1.54E-06
Col20a1	-0.411355072	2.844499732	1.94E-08	1.64E-06
Sun2	0.274065266	4.865800144	2.05E-08	1.72E-06
Prkcg	-0.270726353	6.080037585	2.29E-08	1.91E-06
Plagl1	0.302344713	4.587854947	2.60E-08	2.15E-06
Rhbdl3	-0.375335859	4.477048965	2.61E-08	2.15E-06
Camk1	-0.292961662	3.765927946	2.66E-08	2.18E-06
Trim67	-0.449903797	2.330040237	3.09E-08	2.51E-06
Fam234b	0.220165701	6.701266524	3.10E-08	2.51E-06
Spink10	-0.370103345	5.156955178	3.18E-08	2.56E-06
Neu4	-0.424937973	2.477394512	3.22E-08	2.57E-06
Pik3ap1	-0.452460044	2.76989911	3.53E-08	2.81E-06
Zkscan16	0.311640704	5.54235349	3.62E-08	2.85E-06
Plekha7	0.308593543	5.96964813	3.65E-08	2.85E-06
Dpysl3	-0.25891165	5.402524816	3.68E-08	2.85E-06
Cirbp	0.38744919	3.768485005	3.69E-08	2.85E-06
E2f3	-0.226848104	6.073389388	3.69E-08	2.85E-06
Blnk	-0.478354631	3.288365282	3.84E-08	2.96E-06
Bcl6	0.290762412	4.794363022	4.02E-08	3.08E-06
Mpp4	-0.51590372	1.961447056	4.13E-08	3.15E-06
Pvalb	0.48903823	2.294900992	4.41E-08	3.34E-06
Gm5535	-0.706809363	0.690768378	4.97E-08	3.75E-06
Esr2	0.674694494	0.985940746	5.04E-08	3.78E-06
Vwa8	0.267602174	7.639887709	5.13E-08	3.81E-06
Nlrc3	-0.565480703	1.330823501	5.14E-08	3.81E-06
Aph1c	0.339784581	3.531766998	5.19E-08	3.83E-06
Rnasel	0.341480365	3.138039025	5.34E-08	3.92E-06
Klhl1	-0.481293832	5.385009813	5.39E-08	3.94E-06
Cacng4	-0.276961668	4.447799064	5.51E-08	4.00E-06
Dock8	-0.425961637	3.883292684	5.67E-08	4.09E-06
Gm5607	0.337174602	4.315114048	5.69E-08	4.09E-06
Fam222a	-0.377350289	4.317242773	5.78E-08	4.13E-06
Tanc1	0.28132635	6.968979375	5.83E-08	4.15E-06
Arhgap42	0.268883637	6.599789526	5.98E-08	4.23E-06
Matn4	-0.431253547	2.658833641	6.00E-08	4.23E-06
Erbb3	-0.559075925	2.715822023	6.10E-08	4.28E-06
Tfcp2l1	0.446113708	3.08623904	6.67E-08	4.66E-06
Tgm4	-0.764610931	0.549657397	6.77E-08	4.70E-06
Plcb4	0.392335878	7.40528877	8.34E-08	5.76E-06
Mast4	0.342950948	8.828609284	9.63E-08	6.62E-06
Ntsr2	0.266726311	5.483295004	1.02E-07	7.01E-06
Camk2d	0.249304947	8.156880394	1.06E-07	7.21E-06
Frmd3	-0.367854405	5.791397154	1.07E-07	7.21E-06
Focad	0.310253584	8.484938368	1.07E-07	7.21E-06
6030407O03Rik	-0.501256814	2.354612315	1.08E-07	7.21E-06
Greb1l	0.307816944	6.123697481	1.08E-07	7.21E-06
Rbm20	0.437848541	4.332285214	1.08E-07	7.21E-06
Wnt7b	-0.281557452	3.69148319	1.10E-07	7.28E-06
Zdhhc21	0.238270514	7.147179336	1.11E-07	7.29E-06
Dcbld2	0.253122844	6.199094194	1.13E-07	7.41E-06
Necab1	-0.265213106	6.911701679	1.19E-07	7.78E-06
Ctsk	-0.531245951	1.519052477	1.21E-07	7.87E-06
Kcnip2	-0.276966797	6.017052384	1.31E-07	8.45E-06
Gm13629	0.534736204	5.249638777	1.37E-07	8.79E-06
Tmprss7	-0.541277479	1.618938504	1.41E-07	9.04E-06
Zfp52	-0.320916908	3.616644765	1.44E-07	9.20E-06
Peg3	0.239766421	8.203982765	1.46E-07	9.24E-06
Cyp11a1	-0.72765753	1.241417846	1.57E-07	9.93E-06
Ifi203	-0.688236552	0.681297802	1.59E-07	9.97E-06
Anxa11	0.342116636	4.5390297	1.67E-07	1.04E-05
Mybpc1	0.430709689	2.185729674	1.70E-07	1.06E-05
Wnt2	-0.439746395	2.46889349	1.72E-07	1.07E-05
Shroom3	0.294176821	4.233828048	1.74E-07	1.08E-05
Flna	-0.271324401	5.927394613	1.89E-07	1.17E-05
Nell1	0.504221632	8.359761424	1.93E-07	1.18E-05
Dgkg	0.253000932	7.416778057	2.17E-07	1.32E-05
E130008D07Rik	-0.482627697	1.808280875	2.25E-07	1.36E-05
Afap1l1	0.309316568	5.043212373	2.25E-07	1.36E-05
Wdr78	-0.270527204	6.020642369	2.29E-07	1.38E-05
Plod2	0.326596112	4.507422992	2.47E-07	1.48E-05
AW551984	-1.067073186	1.751758325	2.95E-07	1.76E-05
Tgfb2	0.259503035	4.138019509	3.00E-07	1.79E-05
Plekhg4	-0.871048029	0.537985819	3.02E-07	1.79E-05
Rdh12	-0.647980777	0.729192935	3.27E-07	1.93E-05
Apol8	0.682444569	0.591858666	3.34E-07	1.96E-05
Met	-0.287966621	3.136830023	3.35E-07	1.96E-05
Hs3st3a1	0.567319241	2.334375009	3.58E-07	2.09E-05
Fnip2	0.219617186	6.491285939	3.64E-07	2.11E-05
Tubd1	-0.367592839	3.171326437	3.75E-07	2.17E-05
Adamts16	-0.275418793	4.500333796	3.82E-07	2.20E-05
Pask	-0.345588379	3.32975196	3.89E-07	2.23E-05
Avil	-0.622765025	1.189804619	4.21E-07	2.39E-05
5330434G04Rik	0.362673559	5.729215994	4.21E-07	2.39E-05
Cds1	0.252778488	6.680909536	4.29E-07	2.43E-05
Mctp2	0.558445103	4.528434368	4.45E-07	2.51E-05
Prepl	0.217285615	7.780985596	4.67E-07	2.62E-05
Smad3	0.245779896	6.638215623	4.76E-07	2.66E-05
Gli1	0.783693173	0.767820144	4.85E-07	2.69E-05
Dlk1	1.106887912	2.115080199	4.85E-07	2.69E-05
Parp12	0.322928872	3.957663363	5.08E-07	2.80E-05
Kcnk2	0.224952462	6.253018657	5.09E-07	2.80E-05
Sipa1l2	0.195925374	5.973107047	5.51E-07	3.02E-05
Nup210l	-0.676284379	0.6431556	5.67E-07	3.10E-05
Sema3f	-0.37554711	2.730055654	5.85E-07	3.18E-05
Col4a2	0.232833926	6.255186925	6.33E-07	3.43E-05
Dpysl5	-0.286173952	5.212481179	6.47E-07	3.49E-05
Trp53bp2	0.245585617	5.702594829	6.51E-07	3.50E-05
Ccdc30	-0.266707837	5.891927631	6.57E-07	3.52E-05
Sox5	0.295402001	7.852563002	6.95E-07	3.70E-05
Fndc3b	0.231554998	7.465353478	6.96E-07	3.70E-05
Col6a1	0.333477384	4.722513908	7.18E-07	3.81E-05
Kcng2	0.358121831	3.691890645	7.48E-07	3.94E-05
Mreg	0.384688567	2.840772941	7.49E-07	3.94E-05
Catsperg1	-0.790746185	0.585049147	7.56E-07	3.96E-05
Prkch	0.270091352	5.221700039	7.83E-07	4.09E-05
Nt5c1a	-0.476209016	1.760547743	7.89E-07	4.10E-05
Peli2	0.300624695	6.113010763	7.91E-07	4.10E-05
Lgi4	0.293534706	3.966436395	8.27E-07	4.27E-05
March3	0.296430852	5.359822234	8.32E-07	4.28E-05
Ppef2	-0.529744795	1.424297288	8.36E-07	4.28E-05
Abca5	0.268282819	7.173608963	8.58E-07	4.38E-05
Bin2	-0.588631483	1.430097696	8.84E-07	4.50E-05
Ldb3	-0.365860038	3.421296593	8.93E-07	4.53E-05
Hrh3	-0.332643493	4.243871916	8.99E-07	4.54E-05
Slco2b1	-0.365586767	4.023938076	9.23E-07	4.64E-05
Gdf11	-0.534112021	1.930477845	9.26E-07	4.64E-05
Kcnu1	-0.442492306	1.580882129	1.00E-06	5.01E-05
Atp1a1	0.252098804	7.905983692	1.01E-06	5.01E-05
Slc27a3	-0.615034243	0.988428386	1.01E-06	5.01E-05
Zmat4	0.404082019	7.818416656	1.02E-06	5.02E-05
Dmc1	-0.393547185	2.40286754	1.02E-06	5.04E-05
Erich6	-0.488394844	1.345560622	1.05E-06	5.16E-05
Oxtr	-0.445489247	1.900089522	1.05E-06	5.16E-05
Zyx	-0.291450339	3.406078097	1.06E-06	5.16E-05
Bfsp2	-0.544085934	1.973888886	1.09E-06	5.32E-05
Ptch2	-0.57309535	1.252163503	1.14E-06	5.53E-05
Ets2	0.24697396	5.243951691	1.17E-06	5.63E-05
1190002N15Rik	0.2669777	5.449561656	1.18E-06	5.69E-05
Gjc2	-0.431479689	2.89069236	1.20E-06	5.75E-05
Nt5dc3	0.219641659	6.380849222	1.24E-06	5.90E-05
Htr1a	-0.422580354	2.161141137	1.25E-06	5.95E-05
Akap7	0.219593064	6.039044891	1.27E-06	6.00E-05
Fam43a	0.423897236	2.957480098	1.30E-06	6.17E-05
Cgref1	-0.462413342	1.960966548	1.31E-06	6.19E-05
Runx1	-0.469065549	2.86209517	1.33E-06	6.25E-05
5730522E02Rik	0.364673785	8.992029335	1.42E-06	6.63E-05
Gpc4	0.320755086	4.636876486	1.56E-06	7.28E-05
Gpc1	-0.20484281	5.622027956	1.57E-06	7.29E-05
Rab39	-0.565496119	0.923078488	1.60E-06	7.38E-05
Myef2	0.212745452	7.718594766	1.60E-06	7.38E-05
Pcif1	0.249828398	4.049050969	1.60E-06	7.38E-05
Sfmbt2	-0.312314595	5.093693881	1.62E-06	7.41E-05
Plxna3	-0.471383691	3.793303481	1.63E-06	7.46E-05
Ptpn3	0.281218829	6.537443917	1.65E-06	7.53E-05
Zfp316	0.256093315	4.555862275	1.75E-06	7.94E-05
Ppp1r9a	0.232529864	8.840481081	1.78E-06	8.05E-05
Rab26	-0.271462646	3.621310537	1.82E-06	8.20E-05
Dse	-0.243201522	4.381163909	1.82E-06	8.21E-05
Tmem178	0.221234698	6.532932874	1.95E-06	8.75E-05
Notch2	0.220644693	6.411397665	1.99E-06	8.92E-05
Ankrd33b	0.270398014	7.297028566	2.02E-06	9.01E-05
Glra3	-0.593805933	3.704394788	2.04E-06	9.07E-05
Gm10069	-0.473527867	2.737559397	2.05E-06	9.08E-05
Lcp2	-0.464219873	2.452563577	2.14E-06	9.44E-05
E330033B04Rik	-0.295020364	4.176977841	2.16E-06	9.53E-05
Flt3	0.337911625	4.269656963	2.21E-06	9.69E-05
Gpr17	-0.357938411	4.329991147	2.23E-06	9.74E-05
Fmn1	0.236839703	6.999237383	2.27E-06	9.90E-05
Fkbp5	0.668220778	6.266613127	2.31E-06	0.00010035
Naaa	0.293645003	3.833574389	2.31E-06	0.000100375
Gm2762	-0.453875923	3.045951978	2.33E-06	0.000100696
Sntg2	0.3172702	6.441511985	2.34E-06	0.000100718
1500017E21Rik	-0.481549885	1.766910012	2.37E-06	0.00010194
Col4a1	0.243466088	6.411713447	2.47E-06	0.000105895
Ahsa2	-0.265658847	4.770944463	2.53E-06	0.000107902
Fat4	0.170239452	6.341476688	2.59E-06	0.000109934
Cyth4	-0.448119335	2.490662778	2.59E-06	0.000109934
Nexn	0.374250899	3.062289481	2.61E-06	0.000110246
Ttc39b	0.207835876	7.005688049	2.63E-06	0.000111147
8030442B05Rik	-0.499525865	2.140461841	2.70E-06	0.000113514
Lmo7	0.223773958	7.521757244	2.79E-06	0.000116979
Cacng8	-0.264391013	5.919735661	3.01E-06	0.000125672
F2r	0.611357428	1.543753988	3.07E-06	0.000127921
Gm765	-0.643843093	1.113072463	3.12E-06	0.000129742
Itpkc	-0.255691135	3.381095357	3.16E-06	0.000130913
Lemd1	-0.383833799	4.200289858	3.32E-06	0.00013708
Wwc1	-0.218170832	6.672989303	3.42E-06	0.000140745
5930412G12Rik	-0.5183972	1.331979595	3.46E-06	0.00014216
Nap1l5	0.457643012	5.503290037	3.47E-06	0.00014216
Fbn1	0.311092571	5.589537557	3.49E-06	0.000142596
Otub2	-0.310951451	3.982430237	3.55E-06	0.000144639
Cflar	-0.236864971	4.801053662	3.92E-06	0.000159107
Slc6a7	-0.273224211	4.857445557	3.96E-06	0.000160244
Crmp1	-0.229637473	6.463532712	4.05E-06	0.000163425
Rgs19	-0.340058427	2.649488108	4.15E-06	0.000166928
Slc35b4	0.186931092	5.353119268	4.19E-06	0.000168352
B230206H07Rik	-0.494493036	1.551669066	4.24E-06	0.000169914
Syne2	0.21423908	5.857486478	4.44E-06	0.000177424
4833422M21Rik	-0.458181921	1.485307834	4.49E-06	0.000178715
Usp3	0.294707685	6.895271981	4.51E-06	0.000179174
Magi1	0.266297352	8.72683129	4.53E-06	0.000179248
Cdk18	-0.433554221	2.921946944	4.55E-06	0.000179513
Tmem30c	-0.489836158	1.282286829	4.60E-06	0.000181021
Palmd	-0.367441183	5.059089892	4.62E-06	0.000181467
Ntn5	0.506996037	2.412769528	4.85E-06	0.000189794
Adamts8	-0.557814113	0.855867646	4.87E-06	0.000190107
Ccnd2	-0.214365469	5.580421265	4.88E-06	0.000190107
Poln	-0.353474946	2.595760532	5.00E-06	0.000193997
Extl3	0.204489263	6.902923614	5.01E-06	0.000193997
Nrep	-0.289549172	5.37140822	5.09E-06	0.000196327
Sept6	-0.215181574	5.387097904	5.13E-06	0.000197579
Crip3	-0.685579875	0.654923615	5.16E-06	0.000198179
Pdlim1	0.354985831	2.94553618	5.18E-06	0.000198375
Ptgs1	-0.318719392	3.026011739	5.24E-06	0.000200181
2810429I04Rik	-0.408541496	1.91093953	5.32E-06	0.000202444
Npnt	0.24608724	4.266683419	5.37E-06	0.000203992
Crb1	-0.499276695	2.372837502	5.55E-06	0.000210275
Lpp	0.27367553	7.313694205	5.73E-06	0.000216605
Phex	-0.355771626	3.332258453	5.80E-06	0.000218478
Fbxl4	0.250797503	5.782315186	6.00E-06	0.000225236
Oprm1	-0.400835671	4.536631665	6.01E-06	0.000225236
Gm5468	-0.301690145	4.029867548	6.29E-06	0.000235068
Frrs1	-0.452229426	1.736896527	6.33E-06	0.000235841
Rassf3	0.321194173	4.770778158	6.39E-06	0.000237473
Cplx3	-0.633561295	0.423388352	6.48E-06	0.000240312
Tmem2	0.230219678	5.857962882	6.51E-06	0.00024074
A930009A15Rik	-0.471038929	1.075394671	6.64E-06	0.000245027
Trim8	-0.23713482	5.488978111	6.68E-06	0.000245729
Sorcs1	0.348055719	8.508817353	6.81E-06	0.000249767
Apbb2	0.222502798	7.947262483	6.95E-06	0.000254208
Tsnax	0.186414526	6.290952884	7.13E-06	0.000260318
Pamr1	0.287087909	4.803797036	7.38E-06	0.000268794
Tm6sf2	-0.514917107	1.187393293	7.44E-06	0.000270201
Sla	-0.32494902	3.387221441	8.07E-06	0.00029185
Sptb	0.245019224	6.91002579	8.08E-06	0.00029185
Prtg	0.284266329	4.259532729	8.59E-06	0.000309536
Mchr1	0.315117708	2.581727058	8.65E-06	0.000310833
Cep83os	0.253138867	4.614911764	8.71E-06	0.00031234
Ush2a	0.576756073	0.951158985	8.84E-06	0.000315597
Susd1	0.304313505	5.114681764	8.85E-06	0.000315597
Utrn	0.215557661	8.014816842	9.00E-06	0.000319383
Cldn10	0.271411346	3.815925042	9.00E-06	0.000319383
Fam189a1	0.281318946	7.948993308	9.10E-06	0.00032227
Gm5087	-0.439997642	2.552171977	9.21E-06	0.00032517
Kitl	0.190426169	6.455715077	9.36E-06	0.000329659
Cbln2	0.396562702	4.063742408	9.41E-06	0.00033082
Kcnj13	-0.793746619	0.883048467	9.61E-06	0.000336988
Spata6	-0.308953704	3.897951074	9.66E-06	0.000337655
Foxo1	0.191476813	6.565230511	9.78E-06	0.000341154
2610203C22Rik	-0.426811756	1.632574889	9.95E-06	0.000346344
Klf5	0.252509756	3.828912975	1.00E-05	0.000347673
Aqp1	-0.876198141	0.145183983	1.02E-05	0.000351555
Cfp	-0.331223228	3.22395246	1.03E-05	0.000355547
Disp1	0.226066845	5.367491036	1.05E-05	0.000360398
Slc2a13	0.315274811	8.749479431	1.07E-05	0.000366566
Anxa6	-0.189507846	5.79876806	1.10E-05	0.000378272
Rhoj	0.401305693	3.601059616	1.11E-05	0.000378272
Tex29	-0.59521313	1.303168557	1.13E-05	0.000384819
Ror1	0.378586807	5.67523724	1.13E-05	0.00038549
Plpp1	0.244017515	4.925324677	1.14E-05	0.000386581
Nxph2	-0.34372674	2.290620862	1.19E-05	0.000403494
Rimbp3	-0.508610026	1.316760704	1.22E-05	0.000411594
Ddit3	-0.388884802	2.677840201	1.27E-05	0.000428008
Clybl	0.226062703	4.776694909	1.30E-05	0.000436261
Onecut2	0.238343997	4.19067525	1.30E-05	0.000436261
Traf4	-0.386855906	2.191871128	1.32E-05	0.00044335
Cntnap5c	-0.346557088	6.99600291	1.34E-05	0.000447638
Fstl4	0.260079217	8.004289422	1.36E-05	0.000454133
Col25a1	0.331361076	7.252218227	1.37E-05	0.000455735
Nrxn2	-0.202197798	7.737950876	1.39E-05	0.000459971
Mcc	0.181249166	6.326166937	1.42E-05	0.00047076
Rph3a	-0.241005105	6.788913337	1.43E-05	0.000472629
Ankrd42	-0.18462152	5.118876056	1.48E-05	0.000486983
4931423N10Rik	0.521079691	1.889592984	1.48E-05	0.000486983
Dennd1b	0.217182989	7.774121104	1.50E-05	0.000492742
Osbpl3	0.268835703	7.341516799	1.55E-05	0.000508011
