Probe Name	KO	StDev of KO	WT	StDev of WT	KO vs. WT	P value of: KO vs. WT	FDR adjusted pvalue of: KO vs. WT
Ccnd1	380.09	26.27	490.91	63.52	-0.37	0.00006083	0
Ccser1	206.24	17.98	164.2	19.53	0.33	0.00020728	0
Cdh12	261	29.81	197.61	30.58	0.4	0.0003487	0
Cdh4	286.27	17.17	204.42	17.11	0.49	0.00000001	0
Cdh6	280.35	41.11	204.49	39.39	0.46	0.00054932	0.01
Cdk18	318.39	23.41	394.02	39.31	-0.31	0.00003984	0
Cds1	1306.55	125.67	1083.08	67.66	0.27	0.0000901	0
Chst8	283.99	25.08	229.73	44.1	0.31	0.00608368	0.04
Cirbp	1597.77	271.75	1144.2	155.72	0.48	0.00011235	0
Clec18a	21.26	4.3	35.18	9.99	-0.73	0.00019772	0
Clstn2	876.2	69.07	742.58	29	0.24	0.00005118	0
Cntn4	715.38	54.44	562.54	47.39	0.35	0.00000261	0
Cntn5	77.71	23.2	56.48	8.02	0.46	0.0107113	0.07
Colq	7.94	4.05	7.79	3.42	0.03	0.93668574	1
Cplx3	84.58	9.1	136.61	25.24	-0.69	0.00000557	0
Cpne6	804.03	109.67	876.07	173.67	-0.12	0.2588191	1
Crh	86.79	10.38	136.98	16.22	-0.66	0.0000001	0
Crmp1	2128.14	75.24	2479.43	168.64	-0.22	0.00002728	0
Csnk2a2	1080.26	72.67	1164.05	114.39	-0.11	0.06070786	0.39
Cspg4	95.73	14.7	108.28	15.21	-0.18	0.05870224	0.38
Cyp11a1	48.93	10.6	72.3	13.86	-0.56	0.00086248	0.01
Cyp26b1	102.88	13.22	138.53	19.5	-0.43	0.00015815	0
Cyp2s1	43.49	10.53	80.79	18.01	-0.89	0.0000071	0
Dennd1b	608.7	30.26	489.18	52.31	0.32	0.0000497	0
Dleu7	279.46	34.01	376.77	54.95	-0.43	0.00005064	0
Dpysl3	272.1	27.8	329.15	44.5	-0.27	0.0023186	0.02
E2f1	108.19	15.27	149.44	27.75	-0.47	0.00031344	0
Efna5	517.51	66.61	380.62	34.4	0.44	0.00000601	0
Efnb3	1703.9	146.44	2191.88	200.23	-0.36	0.0000075	0
Ehbp1l1	209.36	22.57	257.82	32.63	-0.3	0.00093671	0.01
Elfn1	163.65	21.89	192.53	16.04	-0.23	0.00474126	0.03
Epb41l4b	335.68	40.78	239.72	21.27	0.49	0.00000211	0
Epha10	92.77	12.96	115.77	17.99	-0.32	0.00278021	0.02
Esrrg	182.55	10.15	121.19	10.05	0.59	0.00000001	0
Fam43a	248.9	14.82	167.64	20.42	0.57	0.00000088	0
Fcrls	259.87	26.35	316.45	40.95	-0.28	0.00092367	0.01
Fgf11	38.06	4.26	67.62	10.34	-0.83	0.00000017	0
Flrt3	442.88	50.17	294.18	38.71	0.59	0.00000041	0
Fmn1	58.16	7.02	44.76	6.94	0.38	0.00075159	0.01
Foxo3	948.57	54.24	818.47	48.45	0.21	0.00001866	0
Frzb	172.52	25.68	250.52	56.84	-0.54	0.0002276	0
Fto	1267.16	158.28	1064.68	153.62	0.25	0.00959232	0.07
Fxyd7	1901.97	217.33	2272.04	191.29	-0.26	0.00079558	0.01
G630025P09Rik	18.42	4.91	22.39	4.5	-0.28	0.08363724	0.52
Gdf11	63.13	6.55	94.24	9.93	-0.58	0.00000007	0
Gfra1	571.05	44.14	441.3	37.56	0.37	0.00000155	0
Glra3	51.26	9.05	84.91	13.81	-0.73	0.00000251	0
Gm5607	136.75	24.51	102.17	15.3	0.42	0.00073682	0.01
Gpr153	163.36	20.98	253.81	35.18	-0.64	0.00000071	0
Gpr17	263.48	34	323.56	31.09	-0.3	0.0008053	0.01
Grin2d	49.25	8.67	69.62	11.76	-0.5	0.00028425	0
Grin3a	378.37	38.74	449.13	37.66	-0.25	0.00069553	0.01
Grk5	321.12	28.74	427.63	31.74	-0.41	0.00000051	0
Grp	75.93	11.42	136.86	13.41	-0.85	0.00000002	0
Hcn3	99.55	17.57	127.24	14.95	-0.35	0.00167226	0.01
Hcrtr1	23.2	5.99	38.6	6.52	-0.73	0.00009224	0
Hkdc1	31.07	7.67	42.6	12.33	-0.46	0.00835497	0.06
Hrh3	1039.85	121.34	1262.29	182.76	-0.28	0.00336253	0.03
Htr1a	153.38	10.33	215.66	23.95	-0.49	0.00000042	0
Igfbp2	705.1	92.23	1090.39	187.54	-0.63	0.00000821	0
Igfbp5	1302.97	104.95	1558.16	87.73	-0.26	0.0000225	0
Igsf3	280.8	29.41	219.56	21.89	0.35	0.00006156	0
Irak1	502.17	27.05	336.96	26.83	0.58	0.00000001	0
Kbtbd11	1959.57	123.85	1724.03	183.48	0.18	0.00515574	0.04
Kcng1	97.04	16.75	120.86	14.52	-0.32	0.00486619	0.04
Kcng2	84.25	17.73	64.65	13.66	0.38	0.00956718	0.07
Kcns1	146.68	22.99	95.2	23.98	0.62	0.00027296	0
Lars	435.41	22.36	466.32	36.04	-0.1	0.03613701	0.23
Lifr	353.13	33	287.43	25.32	0.3	0.00006638	0
Adgrl2	858.26	113.35	600.67	61.08	0.51	0.00000357	0
Lpl	92.22	17.39	135.66	28.42	-0.56	0.00030881	0
Lsm11	228.36	14.4	319.6	21.93	-0.48	0.00000001	0
Maf	75.89	10.26	60.3	9.65	0.33	0.00252131	0.02
Magi1	1093.25	74.19	893.08	86.66	0.29	0.00006414	0
March4	123.58	17.33	161.28	27.73	-0.38	0.00077386	0.01
Mast4	456.8	42.24	373.72	35.32	0.29	0.00013467	0
Mecp2	6.75	2.34	211.68	13.47	-4.97	0.00000001	0
Mmp15	281.1	26.7	376.39	52.91	-0.42	0.00004314	0
Myl4	240.98	41.22	354.77	84.19	-0.56	0.00048269	0
Myo1b	429.34	33.46	320.38	33.82	0.42	0.00000193	0
Nav1	355.13	48.4	430.35	35.82	-0.28	0.00181832	0.01
Necab3	640.91	72.17	857.93	98.98	-0.42	0.00002443	0
Nell1	1084.86	66.28	826.34	61.99	0.39	0.00000005	0
Npas1	46.61	8.17	71.51	13.33	-0.62	0.00004004	0
Nrep	765.39	111	1050.74	88.1	-0.46	0.00001085	0
Nrxn2	5053.68	413.26	5432.01	507.32	-0.1	0.08632836	0.54
Ntn5	35.23	11.34	23.92	4.58	0.56	0.00680058	0.05
Oxtr	29.27	6.56	46	10.95	-0.65	0.00035581	0
Pacsin2	830.1	49.97	640.67	49.76	0.37	0.00000018	0
Pappa2	5.98	3.98	11.81	4.34	-0.98	0.01061106	0.07
Peg13	2536.87	125.87	2131.89	154.21	0.25	0.00000966	0
Plagl1	288.27	40.36	215.12	33.62	0.42	0.00029955	0
Plcb4	855.99	84.5	567.21	81.19	0.59	0.00000119	0
Plcd3	110.49	18.39	94.23	18.59	0.23	0.07091682	0.45
Plekha5	238.11	30.86	211.17	26.15	0.17	0.0502881	0.32
Pls3	429.38	38.59	552.82	33.63	-0.36	0.00000121	0
Plxna3	146.1	17.88	183.98	27.85	-0.33	0.00121948	0.01
Plpp1	1122.79	76.67	879.54	95.15	0.35	0.00001631	0
Ppm1l	667.59	73.69	551.55	67.63	0.28	0.00233767	0.02
Prickle1	1496.63	84.33	1271.09	62.8	0.24	0.00000187	0
Ptbp3	291.26	33.95	222.24	23.28	0.39	0.00006829	0
Ptgfrn	629.6	50.27	460.94	34.64	0.45	0.00000005	0
Ptprf	883.42	81.8	1056.4	131.12	-0.26	0.0015234	0.01
Ptprg	282.93	31.11	239.62	13.41	0.24	0.00082903	0.01
Ptprt	800.23	67.81	633.01	52.08	0.34	0.00000824	0
Pvalb	2901.24	334.01	2090.12	313.25	0.47	0.00005118	0
Pxdn	137.57	16.87	176.79	23.27	-0.36	0.00027017	0
Pygm	834.98	104.64	640.02	66.81	0.38	0.00004108	0
Rasgef1b	1175.17	96.48	898.54	101.22	0.39	0.00001493	0
Rasgrf1	367.52	44.42	308.75	40.83	0.25	0.00689017	0.05
Rassf3	623.32	43.29	521.29	48.53	0.26	0.00014729	0
Rbms1	349.73	31.09	285.76	25.98	0.29	0.00010288	0
Rbms3	207.88	30.69	147.4	17.77	0.5	0.0000352	0
Rgs19	558.21	64.77	678.55	100.46	-0.28	0.00362229	0.03
Rhbdl3	145.04	15.77	190.46	16.18	-0.39	0.00000827	0
Rims3	251.33	18.43	179.07	25.22	0.49	0.00001413	0
Robo3	23.99	6.07	35.4	10.65	-0.56	0.006118	0.04
Rph3a	1871.4	76.25	2170.82	191.52	-0.21	0.00034105	0
Rps6ka5	265.27	31.86	200.04	14.77	0.41	0.00001329	0
Runx2	196.3	23.86	142.49	27.33	0.46	0.00028698	0
Rxfp3	31.65	8.42	48.06	5.4	-0.6	0.00040371	0
Scn3b	1221.17	60.76	1622.12	70.39	-0.41	0.00000001	0
Scn7a	40.73	8.23	65.67	14.1	-0.69	0.00003798	0
Sdk1	95.03	14.63	63.81	11.49	0.57	0.00002761	0
Sema3f	175.03	33.11	222.88	29.84	-0.35	0.00374367	0.03
Sema5a	191.71	21.46	143.17	11.81	0.42	0.00000784	0
Sept6	558.92	48.9	646.12	59.23	-0.21	0.00251275	0.02
Shroom3	59.69	10.4	40.98	7.37	0.54	0.0001571	0
Sipa1l2	655.87	33.35	543.64	73.71	0.27	0.00110837	0.01
Sla	119.58	10.19	160.68	29.5	-0.43	0.00034389	0
Slc16a14	124.27	22.58	140.02	18.4	-0.17	0.09808684	0.6
Slc20a2	1944.53	131	1621.5	166.34	0.26	0.00021952	0
Slc24a2	5146.55	521.23	3892.12	382.77	0.4	0.00000812	0
Slc24a4	100.11	18.91	87.8	10.97	0.19	0.08659825	0.54
Slc27a3	22.6	6.86	35.09	8.37	-0.63	0.00182698	0.01
Slc29a4	62.48	9.48	83.68	14.41	-0.42	0.00073614	0.01
Slc2a13	989.01	111	800.62	78.81	0.3	0.00022641	0
Slc6a7	75.97	12.4	86.63	12.9	-0.19	0.06859867	0.43
Smad9	300.44	23.66	214.04	13.41	0.49	0.00000001	0
Sorcs1	543.23	55.73	434.35	29.73	0.32	0.00005325	0
Sptb	1384.62	79.21	1111.89	113.05	0.32	0.000032	0
Srebf1	564.62	86.82	411.4	32.23	0.46	0.00004346	0
Sst	1468.63	130.94	1744.74	169.03	-0.25	0.00066027	0.01
Stab1	78.87	8.19	107.58	15.16	-0.45	0.00006519	0
Stc1	25.62	5.19	41.02	4.36	-0.68	0.00000794	0
Stc2	18.97	5.92	28.81	6.16	-0.6	0.00562246	0.04
Sypl2	19.89	6.05	27.23	5.68	-0.45	0.01887479	0.12
Tada2b	394.74	39.74	389.99	31.32	0.02	0.76570743	1
Tbc1d1	274.86	20.96	216.34	24.81	0.35	0.0000485	0
Tbr1	595.5	36.59	487.31	56.6	0.29	0.00020394	0
Tenm3	1011.01	89.91	733.71	80.41	0.46	0.00000156	0
Tgfb1i1	347.16	55.49	470.32	84.75	-0.44	0.00088705	0.01
Thsd7b	151.55	8.13	120.34	10.33	0.33	0.00000336	0
Tox3	193.81	25.52	146.28	21.6	0.41	0.00034257	0
Trabd2b	23.16	4.25	16.27	4.33	0.51	0.00312877	0.02
Trim8	965.74	45.29	1031.15	77.42	-0.09	0.03440992	0.22
Trpc6	90.45	12.08	99.72	14.41	-0.14	0.14797655	0.9
Tshz2	855.24	63.14	636.2	45.14	0.43	0.00000003	0
Tspan9	256.87	30.48	203.39	20.39	0.34	0.00010977	0
Unc5d	287.1	42.3	232.45	34.63	0.3	0.00470332	0.03
Vamp1	2825.21	262.5	2055.45	197.27	0.46	0.00000061	0
Vcam1	112.14	21.49	148.81	14.62	-0.41	0.00046109	0
Vcan	57.23	11.38	65.47	14.97	-0.19	0.14942336	0.91
Vmp1	3389.61	180.57	3800.33	378.45	-0.17	0.00593056	0.04
Wnt7b	242.82	30.96	297.86	35.12	-0.29	0.00136101	0.01
Wwc1	388.32	33.39	486.68	27.61	-0.33	0.00000608	0
Zak	98.12	20.59	64.13	5.97	0.61	0.00001518	0
Zbtb7c	92.27	15.59	64.46	9.45	0.52	0.00008323	0
Zdhhc22	128.65	15.43	151.67	27.86	-0.24	0.02690138	0.18
Zfp395	113.14	17.72	71.33	11.55	0.67	0.00000479	0
Zkscan16	596.6	44.83	443.44	37.84	0.43	0.00000022	0
Zmat4	963.41	55.39	683.51	92.02	0.5	0.00000745	0
