Gene	logFC	logCPM	PValue	FDR
Oprm1	-0.289723335	4.816393073	1.43E-07	1.70E-05
Dpysl3	-0.2344704	5.527976891	1.48E-07	1.75E-05
Rcor2	-0.431309766	2.2740904	1.53E-07	1.79E-05
C77370	-0.278466643	6.772591089	1.54E-07	1.79E-05
Rhoq	0.195621362	5.529627215	1.66E-07	1.91E-05
Ace	-0.48608065	3.011976579	1.69E-07	1.93E-05
C130026L21Rik	-0.51215478	1.735473011	1.77E-07	2.01E-05
Syt2	0.343020818	4.064414081	2.11E-07	2.38E-05
Gm10406	-0.75482946	0.620312387	2.22E-07	2.48E-05
Wbscr27	-0.621032846	1.390527289	2.30E-07	2.55E-05
Cbln2	0.291725327	4.724471053	2.32E-07	2.55E-05
Dse	-0.254681406	4.53833779	2.56E-07	2.76E-05
Syne2	0.216632503	5.949713173	2.57E-07	2.76E-05
Crlf1	-0.61928463	1.223895696	2.58E-07	2.76E-05
Cdh22	0.307876709	5.322538934	2.59E-07	2.76E-05
Afap1l1	0.259890554	5.177874755	2.65E-07	2.81E-05
Vamp1	0.303284231	5.689849716	2.84E-07	2.98E-05
Trpc6	-0.419050013	5.325800323	2.85E-07	2.98E-05
B3galt1	0.250410905	5.579199298	2.90E-07	2.98E-05
Neu4	-0.45422764	2.654124398	2.90E-07	2.98E-05
Gap43	-0.295006042	6.16300293	2.99E-07	3.04E-05
Myo1e	0.296193595	5.355810488	3.00E-07	3.04E-05
Osbpl3	0.317228309	7.091878972	3.07E-07	3.09E-05
Trpc5	-0.354924381	6.076738065	3.54E-07	3.54E-05
Echdc2	-0.449999127	2.662883085	3.81E-07	3.78E-05
Map3k13	0.220070243	5.153019189	3.90E-07	3.85E-05
Igsf3	0.36596365	5.708903763	4.14E-07	4.05E-05
Esr1	-0.40215814	2.69030777	4.27E-07	4.15E-05
Plod2	0.272300607	4.365370091	4.35E-07	4.20E-05
Mmp15	-0.397641349	3.732344277	4.68E-07	4.48E-05
Adra2a	-0.432492874	3.264817517	4.79E-07	4.56E-05
Nxph3	-0.418092865	2.939535901	4.91E-07	4.63E-05
Npas1	-0.514109817	1.535131252	4.93E-07	4.63E-05
Fam196a	0.262167522	4.643849297	4.96E-07	4.63E-05
Slit1	0.206166384	6.770743722	5.10E-07	4.73E-05
Cyp2s1	-0.499921496	1.615205453	6.58E-07	6.06E-05
Ypel1	-0.307542565	4.22709825	6.79E-07	6.22E-05
Mob3b	0.234517825	4.805012765	7.31E-07	6.56E-05
1700086L19Rik	-0.29052644	5.017345304	7.32E-07	6.56E-05
Runx2	0.498310052	5.94248337	7.34E-07	6.56E-05
Gulp1	-0.348311418	5.203711629	7.35E-07	6.56E-05
Col11a2	-0.441651816	3.012952816	7.50E-07	6.66E-05
Gpc4	0.289628964	4.77191874	7.91E-07	6.97E-05
Gpr149	-0.449183694	3.340467859	8.10E-07	7.09E-05
Ntsr1	-0.421221596	2.870340635	8.44E-07	7.35E-05
Aifm3	0.261148235	5.364624633	9.08E-07	7.85E-05
Atp6v1c2	-0.510077416	1.567050205	9.32E-07	8.01E-05
Dzip1	0.172575247	6.098734539	9.38E-07	8.02E-05
Hapln1	-0.351243714	4.429589758	9.56E-07	8.13E-05
Cap2	0.223616975	7.47842882	1.02E-06	8.60E-05
Grik5	-0.225622996	6.929052141	1.08E-06	9.09E-05
Mettl11b	-0.625138758	1.160206065	1.11E-06	9.25E-05
Pdgfra	-0.307224307	5.442636767	1.13E-06	9.40E-05
Ptpn3	0.213360734	6.352379818	1.18E-06	9.75E-05
Myl4	-0.475125309	2.281873273	1.21E-06	9.91E-05
Rgs11	-0.324906555	3.33813791	1.41E-06	0.000114771
Jarid2	0.338988487	7.731020874	1.44E-06	0.000116822
Tenm3	0.344318578	8.722143886	1.49E-06	0.000120306
Pxdn	-0.209889872	6.749640973	1.57E-06	0.000125491
Dnah7b	-0.368292715	4.48085694	1.63E-06	0.000129108
Arhgap33	-0.31703799	5.502261277	1.63E-06	0.000129108
Cacnb3	-0.315829902	5.94226487	1.66E-06	0.000130674
Kcns1	0.352791105	3.524257037	1.68E-06	0.000131059
Cgref1	-0.400018309	2.209700743	1.68E-06	0.000131059
Plxnd1	-0.259210669	6.135648169	1.92E-06	0.000148607
Grk5	-0.231950634	5.448700418	1.98E-06	0.000152747
Ston2	0.22539064	5.745068263	2.03E-06	0.000155314
Cldn2	-0.852214543	0.3635428	2.05E-06	0.000156699
Chst11	0.266238718	7.035400996	2.21E-06	0.000167705
Ccnd2	-0.248773973	5.994669874	2.28E-06	0.000172112
Myo1b	0.242061428	6.661793515	2.36E-06	0.000177249
Zmat4	0.372349598	7.39227735	2.44E-06	0.000182176
Zadh2	0.215881769	5.035263681	2.53E-06	0.000188173
Met	-0.36149057	3.371846517	2.60E-06	0.000192163
Nxph2	-0.544229274	1.978859624	2.78E-06	0.000203661
Plxdc1	0.25275633	4.673263753	2.78E-06	0.000203661
Sv2c	0.271829262	6.017953603	2.87E-06	0.000207569
Clec18a	-0.504511657	1.622437092	2.87E-06	0.000207569
Adamts16	-0.41603087	4.161561319	2.97E-06	0.000213634
Chd3	-0.280023235	8.275263603	2.99E-06	0.000214124
Pdia5	0.305323013	4.011992844	3.11E-06	0.000221563
Pvalb	0.420126022	2.732631876	3.13E-06	0.0002223
Trpv6	-0.658386647	1.270421416	3.17E-06	0.00022381
1110008P14Rik	-0.284310683	4.212544039	3.27E-06	0.000228948
Gabrr2	0.51545046	1.676730303	3.28E-06	0.000228948
Cbx7	0.210566222	5.055623454	3.31E-06	0.000229596
Ank1	0.251226472	5.899903963	3.32E-06	0.000229596
Zbbx	-0.37838846	3.563303297	3.62E-06	0.000249623
Cplx3	-0.541793919	1.293301256	3.79E-06	0.000259727
Gm2897	-0.599383979	0.925455287	3.81E-06	0.000260135
Plcb4	0.266017364	7.080286678	3.94E-06	0.000267644
Nov	-0.303889655	5.245956288	4.09E-06	0.000276244
Gucy1a2	-0.304518452	8.431435354	4.14E-06	0.000278311
Tpd52l1	-0.276697726	4.723517044	4.18E-06	0.000279007
Thsd4	0.343161569	5.483549578	4.19E-06	0.000279007
L3mbtl1	-0.312062858	3.305038023	4.55E-06	0.000301457
Myo5b	-0.214448113	5.336380676	4.59E-06	0.000303195
Gpr68	0.272224789	3.922604042	4.63E-06	0.000304254
Ccdc134	0.272364421	4.274108007	4.67E-06	0.000305362
Hs3st3a1	0.532021607	2.303818613	4.74E-06	0.000308686
2410018L13Rik	-0.670106123	1.300245633	4.82E-06	0.000312337
Fam124a	-0.229990092	4.794961961	5.47E-06	0.000353011
Wnt9a	-0.277184917	3.308626052	5.67E-06	0.000363728
Cd302	0.276217246	3.388625618	5.74E-06	0.000366667
Necab1	-0.292047924	7.045402839	5.87E-06	0.000371643
Tmc1	-0.734979446	0.463860348	5.87E-06	0.000371643
5930412G12Rik	-0.479094237	1.34159249	5.89E-06	0.000371643
Crhbp	0.479842765	2.8384281	6.14E-06	0.000385453
Sept6	-0.180326117	5.450458097	6.51E-06	0.000406694
Wnk4	-0.58527301	0.920724414	6.54E-06	0.00040727
Pkp2	-0.34224671	4.846395668	6.66E-06	0.000411928
Stab1	-0.276660325	3.651133902	6.68E-06	0.000411928
Gpr17	-0.374408526	5.03266968	7.13E-06	0.00043767
Igf2	-0.531434927	4.037519056	7.23E-06	0.000442301
Palmd	-0.361493396	4.851184436	7.51E-06	0.00045722
Lrrc1	0.198997593	5.544690971	7.57E-06	0.000459086
Terc	-0.627920308	0.904077481	7.66E-06	0.000462014
Plk5	-0.423852886	2.660242365	7.68E-06	0.000462014
Cdc14b	0.24952985	5.444912523	7.74E-06	0.000463373
Fads2	-0.209806288	5.671027767	7.98E-06	0.000475613
Tmem194b	0.266053175	4.199083798	8.09E-06	0.000480488
Lrig1	0.204321802	6.15316676	8.55E-06	0.000505508
Arhgef3	0.186603357	6.772189982	8.77E-06	0.000516071
Plxna2	-0.186421183	8.457524574	9.10E-06	0.000533266
Nrep	-0.217819305	5.462298105	9.22E-06	0.000537382
Ttc39b	0.187916518	7.056936628	9.24E-06	0.000537382
Dbpht2	-0.241750341	4.572394856	9.29E-06	0.000537829
Slc29a1	-0.350049258	3.165107745	9.69E-06	0.000558787
Sgk2	-0.550495459	1.566051208	1.01E-05	0.00057744
Plk4	-0.35572446	2.501479031	1.01E-05	0.00057744
Mndal	-0.675295037	1.340823058	1.02E-05	0.000581604
Prkch	0.257913843	5.077300464	1.04E-05	0.000589872
Scn5a	0.332044404	3.739459323	1.06E-05	0.00060178
Susd5	-0.408073385	2.504473007	1.07E-05	0.00060178
9030624G23Rik	-0.494042989	1.745348253	1.07E-05	0.00060178
Esr2	0.698599048	0.546630233	1.08E-05	0.000604122
Bzrap1	-0.181580512	6.891784013	1.15E-05	0.000639832
4931440J10Rik	0.319645134	3.643833277	1.17E-05	0.000645831
Tbc1d1	0.234075823	6.379817162	1.17E-05	0.000645831
Esrrg	0.370878169	7.005150682	1.23E-05	0.000678366
Rgs14	-0.302483947	4.092671214	1.26E-05	0.000688236
Cdk18	-0.349640831	3.304750501	1.27E-05	0.00069162
Dio2	-0.366558635	5.70748419	1.29E-05	0.000701421
Ppfia4	-0.203849649	5.354558515	1.34E-05	0.000724511
Ptbp3	0.170863391	6.512296607	1.40E-05	0.000754979
Rapgefl1	-0.22719772	5.874115137	1.40E-05	0.000754979
Egln3	0.397773953	2.706145272	1.52E-05	0.000810383
Cd55	-0.305542355	2.938017447	1.52E-05	0.000810383
Gm12992	0.325530378	3.196476808	1.53E-05	0.000810383
Cry1	0.260917628	4.960716529	1.53E-05	0.000810383
Vstm2a	-0.223992309	6.753928541	1.54E-05	0.000813359
Pkd2l1	0.575962166	0.771187469	1.69E-05	0.00088664
Slc16a11	-0.330468672	2.512115207	1.73E-05	0.000903678
Gabrg1	-0.257809855	5.175123828	1.73E-05	0.000903678
Lrrc75b	-0.345533829	2.571540307	1.76E-05	0.000917193
Zdhhc15	-0.281179416	4.2324355	1.84E-05	0.000953229
Frmpd3	-0.211462888	5.142703053	1.89E-05	0.00097319
Col5a1	0.258678141	4.005273276	1.90E-05	0.000977044
Etnk2	-0.285456449	3.220827488	1.92E-05	0.000982587
Tcn2	-0.319298848	3.296846491	1.98E-05	0.001011384
Ldb3	-0.276285933	3.38017706	2.01E-05	0.001018612
Peli2	0.32979615	5.995574562	2.01E-05	0.001018612
Zfp488	-0.421780527	2.116385936	2.15E-05	0.001084469
Arhgdig	-0.364476157	3.104596323	2.16E-05	0.001086619
Ikzf4	-0.293508016	3.076951564	2.27E-05	0.001132659
Mas1	-0.274587216	3.976751532	2.27E-05	0.001132659
Fam234b	0.198733883	7.245474546	2.28E-05	0.001132659
Hs3st1	0.191795128	5.837769398	2.31E-05	0.001144325
Ccdc85a	-0.334128554	7.861182023	2.38E-05	0.001175861
Slc16a14	-0.302207239	3.594982981	2.41E-05	0.001188192
Fcrls	-0.40444435	3.062282254	2.43E-05	0.001195497
Ntn4	0.448440504	3.934851507	2.54E-05	0.00124069
Ephb6	-0.228963031	6.01877321	2.54E-05	0.00124069
Ece2	-0.248491415	3.931731376	2.58E-05	0.001248779
Sntb2	0.247991506	6.449182158	2.58E-05	0.001248779
Zfp92	-0.405535183	2.011959876	2.71E-05	0.001306256
Inhba	0.703682471	3.439412187	2.75E-05	0.001323367
Nav1	-0.176176355	7.242561677	2.79E-05	0.001337812
Nts	-0.518193363	1.334847977	2.86E-05	0.001365548
March4	-0.268236496	5.118951822	2.88E-05	0.001369491
Trpc3	-0.205495269	5.267395139	2.91E-05	0.001380798
Sema3d	-0.300605837	4.867312853	2.96E-05	0.001399547
Crb1	-0.547053443	2.269744145	2.98E-05	0.001401598
Rims3	0.237653262	4.755595359	2.98E-05	0.001401598
Cep83os	0.188276089	4.844339365	3.02E-05	0.001408359
Sdk1	0.3900962	7.16580216	3.03E-05	0.001408359
Tshz1	0.5126742	6.231087828	3.03E-05	0.001408359
Mast4	0.240720235	8.620881215	3.14E-05	0.001450981
Megf10	0.192941324	6.125661615	3.14E-05	0.001450981
Cpq	-0.245043802	4.984272082	3.15E-05	0.001450981
Rcn1	-0.281057797	3.783657833	3.17E-05	0.001454574
Ypel5	0.1879954	6.15044125	3.23E-05	0.001478451
Il16	-0.352126884	3.071606178	3.25E-05	0.001482828
Fam134b	0.169978068	6.572321029	3.30E-05	0.001501725
Crispld2	0.446258044	1.793485696	3.36E-05	0.001524166
Tnc	-0.284502803	3.755096173	3.43E-05	0.001548703
Zfp459	-0.384681267	2.22383385	3.55E-05	0.001594728
Fam185a	-0.203441872	5.159865078	3.55E-05	0.001594728
Chrdl1	-0.307529164	3.376481225	3.57E-05	0.001594728
Pdlim3	0.55894429	0.968650828	3.57E-05	0.001594728
Asic4	-0.330606859	3.140091964	3.70E-05	0.001644291
Efnb2	0.189707767	7.011030792	3.72E-05	0.00164829
Sptb	0.233537802	7.174975315	3.83E-05	0.001691553
Scml2	-0.426056338	2.261830526	3.99E-05	0.001751584
Faah	-0.160290034	5.846440619	3.99E-05	0.001751584
Bcl6	0.223556153	4.884731004	4.00E-05	0.001752375
Adamtsl1	0.214015392	5.633018859	4.07E-05	0.00177625
Frmd6	0.257069613	6.979953281	4.13E-05	0.001798714
Zfp697	-0.155881796	5.652369606	4.30E-05	0.001865873
Nwd2	-0.24978428	6.933313697	4.35E-05	0.001879634
Kcnk4	-0.319399512	2.813321919	4.43E-05	0.001909925
Tmem72	-0.745014908	0.997431116	4.52E-05	0.001945294
Peg10	0.421347206	4.883750533	4.63E-05	0.001982826
Gdf11	-0.318100786	2.19355839	4.68E-05	0.002000922
Gm26839	0.368168669	2.007674904	4.72E-05	0.002010436
Fhit	-0.330120579	6.692543866	5.25E-05	0.002229389
D630023F18Rik	-0.423444543	1.530220677	5.28E-05	0.002235335
Smoc1	0.300500944	4.473483171	5.39E-05	0.002274495
Adam18	-0.396750633	2.359678281	5.43E-05	0.002288127
Atad2	-0.208700123	4.25996805	5.60E-05	0.002347435
Hpcal4	-0.356286909	8.495316328	5.61E-05	0.002347435
Olfm2	-0.187673567	5.790532435	5.62E-05	0.002347435
Crym	-0.206247823	5.038225328	5.71E-05	0.00237583
Plin3	0.32229339	2.998813894	5.75E-05	0.002384894
Epb41l4b	0.227913263	5.38310414	5.78E-05	0.002392132
Npr3	-0.208977618	4.651074011	5.80E-05	0.002393459
Tspan9	0.201065521	6.025298167	5.86E-05	0.002408376
Plch2	0.203743545	5.25073313	5.89E-05	0.002408376
9530036O11Rik	-0.413526782	3.152010099	5.89E-05	0.002408376
Slc30a3	-0.243300641	4.679131747	5.98E-05	0.002437339
Ubash3b	0.325744702	6.18837419	6.00E-05	0.002439696
Chst8	0.256985986	4.387999826	6.03E-05	0.002445055
Stmn2	-0.188923573	6.974250111	6.22E-05	0.002515188
Slc2a13	0.218039649	8.668145425	6.32E-05	0.00254654
Bmp2	-0.338537809	1.985049619	6.53E-05	0.002614657
Pml	0.204907611	4.001553699	6.53E-05	0.002614657
Lncppara	0.202419169	4.241576523	6.57E-05	0.002614657
Prrg1	-0.240100348	4.758012581	6.57E-05	0.002614657
Vasn	-0.32360506	3.003548321	6.58E-05	0.002614657
Samd14	-0.32845761	3.318210844	6.63E-05	0.002626433
Gm3002	-0.657537622	0.271191278	6.72E-05	0.002656572
Larp1b	-0.232646456	3.756869651	6.77E-05	0.002669308
Hnmt	-0.218600832	4.178298738	6.86E-05	0.002697402
Ppp2r5a	0.162499201	6.686552904	6.98E-05	0.002736055
Gk	-0.163645286	5.927895032	7.19E-05	0.002809438
Dgkg	0.220488226	7.146270257	7.22E-05	0.002815336
Rph3a	-0.201811808	7.06250906	7.26E-05	0.002822872
Wdr17	-0.275525723	6.500806153	7.29E-05	0.002825109
Zbtb7c	0.302630048	4.697903005	7.33E-05	0.00283242
Rnd1	-0.372183165	2.270991464	7.44E-05	0.002869598
Oxtr	-0.446431162	2.298913682	7.60E-05	0.002917862
Reck	0.182878316	5.721196992	7.61E-05	0.002917862
Bcl9l	-0.208267292	4.541152761	7.77E-05	0.002965021
Pla2g4e	-0.185146245	4.811342306	7.77E-05	0.002965021
Gm2762	-0.329124107	2.708181425	7.96E-05	0.003002745
Efna5	0.351744588	7.868611169	7.96E-05	0.003002745
Spry2	0.262829862	5.665586277	7.98E-05	0.003002745
Gm10863	-0.418297873	3.221270133	7.98E-05	0.003002745
Tmem74	-0.309192403	2.646499555	8.00E-05	0.003002745
Gpd1	-0.271731172	4.443961437	8.00E-05	0.003002745
Dach2	-0.397908374	2.583272705	8.13E-05	0.003043031
Nap1l5	0.284842247	6.36434408	8.19E-05	0.003052681
Kazn	0.165589723	6.427692329	8.20E-05	0.003052681
Matn4	-0.285111273	3.121409647	8.30E-05	0.003081724
Plcd3	0.253114246	3.426246935	8.36E-05	0.003095309
P2ry1	-0.359926266	2.325738564	8.46E-05	0.00312578
Wls	-0.201918051	6.076852773	8.66E-05	0.003190029
Doc2b	-0.201560814	4.615452563	8.77E-05	0.003219064
Galnt7	0.203030498	6.266777819	8.78E-05	0.003219064
Gucy1a3	-0.170418141	6.57570138	8.82E-05	0.003224128
Kcnab3	0.272875233	3.891485237	8.84E-05	0.003224128
Cntnap5c	-0.333021556	6.526830126	8.92E-05	0.003243954
Cacna1h	-0.183494757	6.156615487	8.98E-05	0.00325061
Arhgap10	0.278614753	6.738033256	8.98E-05	0.00325061
Lrp4	-0.241085664	5.725457264	9.02E-05	0.003254851
Klhl14	-0.393357417	1.709280056	9.21E-05	0.003315459
Enpp1	0.263165292	3.135757692	9.33E-05	0.003352166
Crmp1	-0.16837237	6.587955795	9.41E-05	0.003371125
Pkd1l3	-0.578723906	0.494854131	9.51E-05	0.003400001
Epb41l3	0.185557115	7.769289441	9.58E-05	0.003415897
Unc119	-0.357273625	2.749359472	0.0001003	0.00356569
Myo3b	-0.395982139	2.968470818	0.00010052	0.00356569
Vmn2r84	-0.547918724	2.065312904	0.000102872	0.003640015
Mgat5b	-0.184028673	6.000787109	0.000106448	0.003757193
A330102I10Rik	0.257247386	5.57904831	0.000107823	0.003796264
Lsg1	0.177439592	4.504526464	0.00010854	0.003812056
Bmp3	0.300173787	4.682246943	0.000112139	0.003928134
Zfp40	-0.294019624	6.018368765	0.000112399	0.003928134
Sh3bp2	-0.319453346	3.111131142	0.000113091	0.003942621
Inpp5f	0.143762129	6.789018114	0.000115874	0.004028197
Dleu7	-0.421372344	1.365742017	0.000116397	0.004028197
Cnih2	-0.264146943	5.029335855	0.000116944	0.004028197
Tgfb3	0.269736483	3.699179043	0.000116955	0.004028197
Snhg20	0.223313728	3.163054524	0.000116965	0.004028197
Plekha7	0.192038672	5.743324249	0.000117685	0.004036489
Slc16a2	-0.209224538	6.023128521	0.000117775	0.004036489
AU022754	-0.539782583	0.917086671	0.000119826	0.004096893
Zfp944	-0.217377975	5.258097974	0.000121068	0.004129414
Lifr	0.187267942	6.876251759	0.00012223	0.004159032
Aldh1a1	-0.309124681	3.586010934	0.000126168	0.004282763
Ier5	0.282919044	5.267897979	0.000126614	0.004287637
Lmo1	-0.316835433	2.996326602	0.000135155	0.004565998
Slc39a12	-0.194580503	5.978433614	0.000137441	0.004632189
Kcnd1	-0.247630536	2.750883162	0.00013816	0.004645373
Hcrtr2	-0.318068683	3.670406038	0.00014093	0.004727322
Tmod1	0.212040231	6.25611981	0.000143762	0.004810925
Pdlim2	-0.376599462	1.842489524	0.000146367	0.004886595
Ptgs2	0.579078103	4.264473566	0.000147248	0.004904454
Ctxn1	-0.243419845	5.580139054	0.000149729	0.004964135
Zfp395	0.23732135	3.638267363	0.000149739	0.004964135
Kcp	-0.576082514	0.603421675	0.000150852	0.004989357
A730017C20Rik	0.227365706	4.99684274	0.000152377	0.005028085
Cthrc1	0.2676909	2.984974351	0.000153534	0.005054503
Nox4	-0.588553159	0.976119525	0.000155864	0.005119325
Cfap206	-0.444183791	1.889110691	0.000158022	0.005178227
Pcdh11x	-0.278519759	7.321481496	0.000158584	0.005184666
Cd99l2	0.140044824	6.384530145	0.00016103	0.005243285
Gng10	-0.228054206	3.664656982	0.000161116	0.005243285
